Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
10.802584, 76.552, 4.70366, 59.592, 16.96, 1550.95
14.467168, 82.936, 5.09591, 65.416, 17.52, 1544.56
38.454214, 139.352, 8.56233, 109.016, 30.336, 1488.15
49.876045, 179.952, 11.057, 143.632, 36.32, 1447.55
88.063531, 189.848, 11.665, 150.016, 39.832, 1437.65
150.128951, 262.24, 16.1131, 204.48, 57.76, 1365.26
174.131798, 275.96, 16.9561, 210.816, 65.144, 1351.54
288.399479, 319.88, 19.6547, 239.56, 80.32, 1307.62
313.620497, 389.304, 23.9204, 300.688, 88.616, 1238.2
337.235281, 481.808, 29.6042, 386.72, 95.088, 1145.69
360.301858, 504.712, 31.0115, 407.008, 97.704, 1122.79
393.818123, 520.544, 31.9843, 419.12, 101.424, 1106.96
436.240677, 522.2, 32.086, 421.928, 100.272, 1105.3
507.375069, 526.184, 32.3308, 422.512, 103.672, 1101.32
530.501044, 526.4, 32.3441, 423.552, 102.848, 1101.1
680.243791, 555.592, 34.1378, 451.456, 104.136, 1071.91
720.390622, 612.68, 37.6455, 504.008, 108.672, 1014.82
749.154869, 676.824, 41.5867, 557.32, 119.504, 950.676
767.052253, 738.584, 45.3815, 609.624, 128.96, 888.916
792.261877, 749.848, 46.0736, 614.696, 135.152, 877.652
849.741683, 776.104, 47.6869, 632.576, 143.528, 851.396
911.556708, 832.864, 51.1744, 673.256, 159.608, 794.636
925.212949, 834.984, 51.3047, 672.712, 162.272, 792.516
943.079063, 846.664, 52.0224, 680.992, 165.672, 780.836
965.241318, 907.608, 55.767, 739.336, 168.272, 719.892
990.826453, 970.992, 59.6616, 790.544, 180.448, 656.508
1024.425375, 1051.71, 64.6213, 857.272, 194.44, 575.788
1146.865488, 1063.66, 65.3557, 864.848, 198.816, 563.836
1180.391546, 1070.67, 65.7863, 874.008, 196.664, 556.828
