Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
9.241505, 109.736, 13.7514, 88.464, 21.272, 688.264
38.026595, 227.336, 28.4882, 190.096, 37.24, 570.664
53.458308, 265.128, 33.2241, 222.36, 42.768, 532.872
74.697223, 347.392, 43.5328, 288.264, 59.128, 450.608
104.748852, 397.904, 49.8627, 330.752, 67.152, 400.096
138.214905, 437.752, 54.8561, 364.472, 73.28, 360.248
167.418762, 487, 61.0276, 400.712, 86.288, 311
185.351929, 524.216, 65.6912, 427.48, 96.736, 273.784
190.836014, 534.696, 67.0045, 436.192, 98.504, 263.304
241.464971, 609.648, 76.397, 495.528, 114.12, 188.352
262.517863, 638.28, 79.985, 513.104, 125.176, 159.72
280.041044, 652.144, 81.7223, 526.752, 125.392, 145.856
305.034281, 657.696, 82.418, 531.936, 125.76, 140.304
316.377171, 659.8, 82.6817, 532.304, 127.496, 138.2
320.392866, 660.312, 82.7459, 533.808, 126.504, 137.688
348.585304, 665.744, 83.4266, 541.12, 124.624, 132.256
392.178477, 682.288, 85.4997, 552.96, 129.328, 115.712
463.080998, 689.216, 86.3679, 560.248, 128.968, 108.784
477.379253, 690.096, 86.4782, 560.688, 129.408, 107.904
482.716974, 690.536, 86.5333, 561.392, 129.144, 107.464
525.143917, 694.6, 87.0426, 561.048, 133.552, 103.4
547.748452, 696.616, 87.2952, 563.24, 133.376, 101.384
560.072608, 697.416, 87.3955, 564.256, 133.16, 100.584
593.253931, 697.856, 87.4506, 561.352, 136.504, 100.144
619.350445, 698.408, 87.5198, 559.432, 138.976, 99.592
667.346917, 699.864, 87.7023, 565.064, 134.8, 98.136
734.541386, 702.776, 88.0672, 565.592, 137.184, 95.224
785.433989, 707.528, 88.6627, 570.128, 137.4, 90.472
826.315987, 708.504, 88.785, 568.248, 140.256, 89.496
861.631157, 709.736, 88.9393, 571.376, 138.36, 88.264
880.723560, 710.488, 89.0336, 570.064, 140.424, 87.512
927.795589, 713.336, 89.3905, 570.592, 142.744, 84.664
976.650639, 714.28, 89.5088, 574.656, 139.624, 83.72
1028.401929, 718.816, 90.0772, 572.84, 145.976, 79.184
1045.808632, 720.528, 90.2917, 574.512, 146.016, 77.472
1077.378846, 720.92, 90.3409, 570.728, 150.192, 77.08
