Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
9.306927, 71.728, 14.0643, 56.6, 15.128, 438.272
12.621026, 72.864, 14.2871, 59.008, 13.856, 437.136
30.042732, 139.872, 27.4259, 119.032, 20.84, 370.128
53.390775, 253.376, 49.6816, 222.448, 30.928, 256.624
82.276837, 333.888, 65.4682, 291.432, 42.456, 176.112
99.997242, 368.76, 72.3059, 319.56, 49.2, 141.24
132.514578, 410.2, 80.4314, 345.264, 64.936, 99.8
141.811372, 412.12, 80.8078, 344.824, 67.296, 97.88
146.523749, 412.248, 80.8329, 344.68, 67.568, 97.752
156.617755, 414.488, 81.2722, 343.152, 71.336, 95.512
189.101329, 420.384, 82.4282, 345.888, 74.496, 89.616
234.795162, 432.552, 84.8141, 355.04, 77.512, 77.448
248.834440, 436.528, 85.5937, 358.048, 78.48, 73.472
317.182593, 455.2, 89.2549, 370.056, 85.144, 54.8
346.321231, 459.048, 90.0094, 376.816, 82.232, 50.952
370.742370, 473.68, 92.8784, 388.392, 85.288, 36.32
398.515203, 474.312, 93.0024, 389.552, 84.76, 35.688
436.744548, 474.976, 93.1325, 388.64, 86.336, 35.024
497.331133, 477.368, 93.6016, 393.552, 83.816, 32.632
560.280605, 477.344, 93.5969, 393.464, 83.88, 32.656
579.970624, 476.856, 93.5012, 390.544, 86.312, 33.144
615.936261, 476.92, 93.5137, 390.184, 86.736, 33.08
636.311708, 476.92, 93.5137, 389.112, 87.808, 33.08
669.502818, 476.408, 93.4133, 389.024, 87.384, 33.592
696.608825, 475.288, 93.1937, 388.672, 86.616, 34.712
