Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
8.783566, 82.2, 18.2667, 68.944, 13.256, 367.8
12.163178, 81.856, 18.1902, 71.368, 10.488, 368.144
28.751332, 164.504, 36.5564, 149.648, 14.856, 285.496
52.887729, 247.408, 54.9796, 224.48, 22.928, 202.592
71.290104, 315.384, 70.0853, 285.592, 29.792, 134.616
92.779943, 326.104, 72.4676, 291.168, 34.936, 123.896
127.135616, 338.248, 75.1662, 302.024, 36.224, 111.752
147.700212, 356.808, 79.2907, 321.88, 34.928, 93.192
188.109379, 377.72, 83.9378, 338.392, 39.328, 72.28
208.229625, 402.336, 89.408, 359.832, 42.504, 47.664
239.391053, 421.976, 93.7724, 378.28, 43.696, 28.024
266.145392, 421.376, 93.6391, 377.48, 43.896, 28.624
299.788114, 413.024, 91.7831, 367.576, 45.448, 36.976
354.492305, 402.944, 89.5431, 354.168, 48.776, 47.056
404.504335, 399.552, 88.7893, 350.584, 48.968, 50.448
448.586990, 398.272, 88.5049, 346.152, 52.12, 51.728
464.418372, 396.16, 88.0356, 342.832, 53.328, 53.84
487.166030, 391.296, 86.9547, 339.152, 52.144, 58.704
552.655709, 393.248, 87.3884, 335.408, 57.84, 56.752
