Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
9.877827, 158.688, 35.264, 144.736, 13.952, 291.312
12.307950, 161.416, 35.8702, 147.712, 13.704, 288.584
37.399174, 201.8, 44.8444, 179.328, 22.472, 248.2
53.825264, 236.088, 52.464, 206.472, 29.616, 213.912
73.046075, 284.296, 63.1769, 250.216, 34.08, 165.704
88.915708, 321.376, 71.4169, 280.064, 41.312, 128.624
110.343211, 368.688, 81.9307, 319.592, 49.096, 81.312
127.880307, 397.096, 88.2436, 343.48, 53.616, 52.904
162.568643, 419.136, 93.1413, 360.248, 58.888, 30.864
194.906092, 421.688, 93.7084, 362.56, 59.128, 28.312
248.823865, 419.4, 93.2, 360.872, 58.528, 30.6
315.512658, 411.784, 91.5076, 356.744, 55.04, 38.216
363.826289, 411.632, 91.4738, 356.472, 55.16, 38.368
417.648635, 406.088, 90.2418, 349.272, 56.816, 43.912
532.616682, 403.592, 89.6871, 350.544, 53.048, 46.408
598.190845, 404.432, 89.8738, 349.808, 54.624, 45.568
