Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
12.257479, 90.32, 6.27222, 74.864, 15.456, 1349.68
30.641121, 139.496, 9.68722, 121.088, 18.408, 1300.5
64.177667, 212.44, 14.7528, 189.672, 22.768, 1227.56
96.678227, 297.528, 20.6617, 267.608, 29.92, 1142.47
135.839845, 368.104, 25.5628, 331.256, 36.848, 1071.9
165.294962, 464.528, 32.2589, 426.776, 37.752, 975.472
187.873674, 519.4, 36.0694, 481.376, 38.024, 920.6
221.753008, 633.632, 44.0022, 590.592, 43.04, 806.368
247.607484, 729.216, 50.64, 681.104, 48.112, 710.784
269.724762, 808.872, 56.1717, 753.968, 54.904, 631.128
295.680762, 868.672, 60.3244, 811.752, 56.92, 571.328
322.264349, 902.952, 62.705, 844.696, 58.256, 537.048
338.567387, 915.048, 63.545, 855.64, 59.408, 524.952
348.745029, 915.048, 63.545, 855.184, 59.864, 524.952
394.826941, 931.728, 64.7033, 868.648, 63.08, 508.272
436.925247, 944.96, 65.6222, 880.552, 64.408, 495.04
473.660432, 995.864, 69.1572, 927.232, 68.632, 444.136
500.456735, 1017.57, 70.6644, 948.848, 68.72, 422.432
534.866076, 1066.11, 74.0356, 992.112, 74, 373.888
564.479501, 1129.47, 78.4356, 1050.5, 78.968, 310.528
594.004365, 1212.14, 84.1767, 1127.22, 84.928, 227.856
623.088286, 1240.79, 86.1661, 1154.78, 86.008, 199.208
661.000556, 1245.91, 86.5217, 1161.66, 84.256, 194.088
716.757905, 1257.82, 87.3483, 1169.73, 88.088, 182.184
744.624962, 1265.66, 87.8928, 1179.47, 86.184, 174.344
763.001373, 1267.25, 88.0033, 1181.63, 85.616, 172.752
854.678140, 1281.5, 88.9928, 1194.83, 86.664, 158.504
893.273752, 1298.97, 90.2061, 1208.6, 90.368, 141.032
951.000693, 1320.69, 91.7144, 1224.02, 96.672, 119.312
978.393287, 1324.69, 91.9922, 1231.39, 93.296, 115.312
988.682447, 1326.35, 92.1078, 1231.04, 95.312, 113.648
1025.243704, 1326.81, 92.1394, 1233.22, 93.592, 113.192
1052.713948, 1329.38, 92.3178, 1234.79, 94.584, 110.624
1078.785139, 1329.58, 92.3322, 1233.7, 95.888, 110.416
1112.739663, 1330.71, 92.4106, 1230.92, 99.792, 109.288
1152.491970, 1335.75, 92.7606, 1241.21, 94.544, 104.248
1187.171342, 1342.18, 93.2072, 1247.86, 94.32, 97.816
1207.006117, 1342.58, 93.235, 1245.49, 97.096, 97.416
