Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
8.646775, 72.944, 8.43283, 54.312, 18.632, 792.056
11.708912, 74.152, 8.57249, 56.264, 17.888, 790.848
19.026689, 80.296, 9.28277, 61.976, 18.32, 784.704
34.736561, 143.528, 16.5928, 114.416, 29.112, 721.472
65.439417, 151.536, 17.5186, 122.88, 28.656, 713.464
118.272447, 203.176, 23.4886, 155.096, 48.08, 661.824
160.829421, 253.768, 29.3373, 194.552, 59.216, 611.232
186.991116, 256.768, 29.6842, 195.96, 60.808, 608.232
230.687862, 261.512, 30.2326, 202.592, 58.92, 603.488
333.419664, 324.128, 37.4714, 246.904, 77.224, 540.872
372.880608, 348.896, 40.3348, 264.16, 84.736, 516.104
379.277642, 374.6, 43.3064, 283.592, 91.008, 490.4
399.657161, 398.672, 46.0892, 299.28, 99.392, 466.328
418.449696, 418.952, 48.4338, 316.512, 102.44, 446.048
435.372449, 441.64, 51.0566, 334.136, 107.504, 423.36
440.334556, 442.424, 51.1473, 330.656, 111.768, 422.576
467.480538, 479.176, 55.3961, 366.232, 112.944, 385.824
502.922788, 498.24, 57.6, 374.632, 123.608, 366.76
522.766830, 508.392, 58.7736, 381.968, 126.424, 356.608
566.738046, 534.448, 61.7859, 404.84, 129.608, 330.552
580.752359, 544.576, 62.9568, 413.408, 131.168, 320.424
596.217588, 545.608, 63.0761, 413.224, 132.384, 319.392
606.832350, 545.816, 63.1001, 412.4, 133.416, 319.184
666.614131, 546.664, 63.1982, 413.872, 132.792, 318.336
705.168774, 547.376, 63.2805, 418.152, 129.224, 317.624
761.994757, 550.104, 63.5958, 415.728, 134.376, 314.896
788.511984, 550.432, 63.6338, 415.984, 134.448, 314.568
808.560784, 549.992, 63.5829, 413.264, 136.728, 315.008
1010.461758, 576.832, 66.6858, 431.536, 145.296, 288.168
1034.952289, 592.256, 68.4689, 439.152, 153.104, 272.744
1050.089422, 596.888, 69.0044, 441.392, 155.496, 268.112
1139.675665, 597.36, 69.059, 447.832, 149.528, 267.64
1194.050965, 599.8, 69.341, 446.112, 153.688, 265.2
