Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
9.026029, 137.656, 17.207, 117.36, 20.296, 662.344
12.471886, 139.92, 17.49, 119.136, 20.784, 660.08
22.296804, 157.984, 19.748, 136.488, 21.496, 642.016
44.179108, 237.16, 29.645, 211.696, 25.464, 562.84
58.456722, 296.072, 37.009, 266.288, 29.784, 503.928
76.298204, 368.328, 46.041, 333.016, 35.312, 431.672
94.514705, 419.384, 52.423, 374.952, 44.432, 380.616
125.160377, 507.68, 63.46, 454.76, 52.92, 292.32
147.123924, 574.76, 71.845, 514.264, 60.496, 225.24
167.420717, 609.776, 76.222, 543.76, 66.016, 190.224
192.051743, 630.784, 78.848, 556.896, 73.888, 169.216
205.203911, 632.48, 79.06, 559.52, 72.96, 167.52
285.537368, 644.488, 80.561, 561.488, 83, 155.512
303.042227, 671.8, 83.975, 588.432, 83.368, 128.2
429.106061, 711.256, 88.907, 622.944, 88.312, 88.744
529.498938, 743.808, 92.976, 644.912, 98.896, 56.192
569.518095, 745.56, 93.195, 644.376, 101.184, 54.44
611.737363, 748.848, 93.606, 656.184, 92.664, 51.152
627.418283, 751.944, 93.993, 657, 94.944, 48.056
679.904660, 751.512, 93.939, 656.152, 95.36, 48.488
711.271551, 751.8, 93.975, 657.536, 94.264, 48.2
764.899312, 751.296, 93.912, 651.552, 99.744, 48.704
819.567205, 750.416, 93.802, 648.216, 102.2, 49.584
838.680587, 747.784, 93.473, 648.896, 98.888, 52.216
910.605861, 746.816, 93.352, 643.56, 103.256, 53.184
968.258972, 745.392, 93.174, 642.04, 103.352, 54.608
1028.396337, 744.608, 93.076, 644.616, 99.992, 55.392
1106.708174, 740.432, 92.554, 642.416, 98.016, 59.568
1152.041975, 740.688, 92.586, 643.048, 97.64, 59.312
1175.475976, 741.088, 92.636, 643.32, 97.768, 58.912
