Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
9.809017, 249.64, 22.6945, 225.272, 24.368, 850.36
18.005438, 278.128, 25.2844, 252.952, 25.176, 821.872
36.013728, 386.8, 35.1636, 346.112, 40.688, 713.2
55.407445, 515.792, 46.8902, 469.44, 46.352, 584.208
75.956918, 531.064, 48.2785, 475.672, 55.392, 568.936
85.727915, 537.776, 48.8887, 481.904, 55.872, 562.224
123.801371, 612.408, 55.6735, 546.032, 66.376, 487.592
152.788438, 765.576, 69.5978, 689, 76.576, 334.424
173.650984, 921.008, 83.728, 833.048, 87.96, 178.992
189.595486, 969.76, 88.16, 873.36, 96.4, 130.24
196.353997, 978.952, 88.9956, 879.944, 99.008, 121.048
216.488968, 982.824, 89.3476, 883.96, 98.864, 117.176
224.602940, 985.232, 89.5665, 886.272, 98.96, 114.768
238.753298, 986.768, 89.7062, 886.68, 100.088, 113.232
255.525384, 988.464, 89.8604, 887.96, 100.504, 111.536
286.989847, 994.112, 90.3738, 889.528, 104.584, 105.888
293.914723, 995.912, 90.5375, 891.288, 104.624, 104.088
301.116987, 997.056, 90.6415, 891.808, 105.248, 102.944
326.883549, 998.824, 90.8022, 891.224, 107.6, 101.176
361.689605, 1003.03, 91.1847, 892.896, 110.136, 96.968
394.550012, 1006.79, 91.5265, 893.208, 113.584, 93.208
439.647996, 1020.86, 92.8058, 903.688, 117.176, 79.136
472.371552, 1025.56, 93.2327, 908.304, 117.256, 74.44
530.527676, 1025.02, 93.184, 902.08, 122.944, 74.976
574.974467, 1027.26, 93.3869, 906.832, 120.424, 72.744
633.802660, 1026.18, 93.2895, 904.408, 121.776, 73.816
693.875291, 1026.51, 93.3193, 904.48, 122.032, 73.488
723.082001, 1026.33, 93.3025, 903.624, 122.704, 73.672
794.509284, 1029.03, 93.5484, 911.112, 117.92, 70.968
823.286604, 1028.34, 93.4858, 910.04, 118.304, 71.656
870.431892, 1029.6, 93.6, 916.688, 112.912, 70.4
895.248588, 1030.25, 93.6589, 918.64, 111.608, 69.752
915.254492, 1030.18, 93.6531, 918.4, 111.784, 69.816
994.062351, 1033.2, 93.9273, 923.176, 110.024, 66.8
1028.130735, 1033.51, 93.9556, 923.824, 109.688, 66.488
1083.986224, 1034.24, 94.0218, 920.512, 113.728, 65.76
