Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
10.943718, 175.344, 10.7738, 156.904, 18.44, 1452.16
15.518162, 182.448, 11.2103, 165.304, 17.144, 1445.05
47.383804, 229.424, 14.0967, 202.784, 26.64, 1398.08
56.329690, 233.112, 14.3233, 206.456, 26.656, 1394.39
75.468724, 240.616, 14.7844, 212.968, 27.648, 1386.88
125.490983, 284.024, 17.4516, 250.568, 33.456, 1343.48
251.697551, 308.968, 18.9842, 267.08, 41.888, 1318.53
332.097250, 316.736, 19.4615, 272.592, 44.144, 1310.76
450.955438, 326.512, 20.0622, 283.32, 43.192, 1300.99
