Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
9.327174, 137.744, 17.2612, 108.28, 29.464, 660.256
11.234674, 139.256, 17.4506, 109.744, 29.512, 658.744
30.877850, 249.488, 31.2642, 205.8, 43.688, 548.512
57.511050, 340.736, 42.6987, 281.832, 58.904, 457.264
89.407428, 435.592, 54.5855, 356.088, 79.504, 362.408
102.678009, 451.448, 56.5724, 369.776, 81.672, 346.552
130.563166, 468.256, 58.6787, 380.92, 87.336, 329.744
163.085976, 483.16, 60.5464, 395.792, 87.368, 314.84
166.215608, 484.664, 60.7348, 396.656, 88.008, 313.336
169.234901, 485.184, 60.8, 397.656, 87.528, 312.816
194.902806, 493.416, 61.8316, 404.864, 88.552, 304.584
219.739668, 539.808, 67.6451, 443.248, 96.56, 258.192
240.803150, 586.984, 73.5569, 480.88, 106.104, 211.016
265.180445, 630.208, 78.9734, 513.152, 117.056, 167.792
301.425458, 650.656, 81.5358, 529.92, 120.736, 147.344
333.124868, 657.736, 82.4231, 531.528, 126.208, 140.264
363.173598, 662.744, 83.0506, 533.032, 129.712, 135.256
384.986621, 665.008, 83.3343, 533.28, 131.728, 132.992
392.927976, 665.52, 83.3985, 533.552, 131.968, 132.48
397.630074, 666.176, 83.4807, 534.448, 131.728, 131.824
434.653005, 669.632, 83.9138, 537.504, 132.128, 128.368
454.667283, 673.112, 84.3499, 540.824, 132.288, 124.888
521.893588, 679.224, 85.1158, 548.648, 130.576, 118.776
567.264770, 689.28, 86.3759, 554.304, 134.976, 108.72
577.046809, 690.04, 86.4712, 554.912, 135.128, 107.96
657.273995, 694.4, 87.0175, 560.264, 134.136, 103.6
677.974595, 695.648, 87.1739, 564.488, 131.16, 102.352
706.907675, 699.936, 87.7113, 566.312, 133.624, 98.064
756.860424, 700.512, 87.7835, 566.712, 133.8, 97.488
849.424982, 704.272, 88.2546, 564.368, 139.904, 93.728
864.623232, 704.656, 88.3028, 566.064, 138.592, 93.344
