Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
8.820296, 83.52, 16.3765, 67.12, 16.4, 426.48
11.260975, 86.76, 17.0118, 71, 15.76, 423.24
20.311371, 95.456, 18.7169, 77.04, 18.416, 414.544
38.075145, 162.4, 31.8431, 132.408, 29.992, 347.6
48.401980, 174.312, 34.1788, 143.232, 31.08, 335.688
56.316823, 177.92, 34.8863, 147.736, 30.184, 332.08
74.873918, 250.712, 49.1592, 213.624, 37.088, 259.288
95.432787, 270.864, 53.1106, 232.672, 38.192, 239.136
178.519981, 374.36, 73.4039, 312.192, 62.168, 135.64
210.550475, 379.128, 74.3388, 313.456, 65.672, 130.872
318.569029, 448.432, 87.9278, 368.176, 80.256, 61.568
347.605260, 458.28, 89.8588, 377.784, 80.496, 51.72
372.093594, 461.176, 90.4267, 378.696, 82.48, 48.824
444.455049, 466.6, 91.4902, 385.008, 81.592, 43.4
499.267562, 466.784, 91.5263, 384.912, 81.872, 43.216
529.802733, 466.344, 91.44, 383.64, 82.704, 43.656
607.479425, 467.048, 91.578, 382.272, 84.776, 42.952
