Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
9.425946, 91.56, 20.3467, 78.424, 13.136, 358.44
13.635256, 97.064, 21.5698, 83.712, 13.352, 352.936
29.938274, 170.728, 37.9396, 151.488, 19.24, 279.272
579.981729, 350.2, 77.8222, 314.032, 36.168, 99.8
673.398807, 369.264, 82.0587, 326.512, 42.752, 80.736
699.782917, 368.952, 81.9893, 325.608, 43.344, 81.048
832.505211, 392.384, 87.1964, 342.92, 49.464, 57.616
853.241555, 396.504, 88.112, 344, 52.504, 53.496
879.547321, 399.192, 88.7093, 349.28, 49.912, 50.808
934.801507, 388.864, 86.4142, 341.184, 47.68, 61.136
968.915891, 391.872, 87.0827, 340.376, 51.496, 58.128
1000.456553, 390.304, 86.7342, 340.576, 49.728, 59.696
1040.651705, 390.112, 86.6916, 339.6, 50.512, 59.888
