Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
9.122970, 153.824, 34.1831, 139.128, 14.696, 296.176
12.742937, 156.552, 34.7893, 141.424, 15.128, 293.448
28.822576, 202.584, 45.0187, 179.928, 22.656, 247.416
47.315614, 227.056, 50.4569, 198.456, 28.6, 222.944
120.088459, 324.608, 72.1351, 284.144, 40.464, 125.392
140.620918, 363.992, 80.8871, 315.448, 48.544, 86.008
222.100467, 368.568, 81.904, 317.376, 51.192, 81.432
262.179556, 413.112, 91.8027, 355.176, 57.936, 36.888
320.506116, 425.496, 94.5547, 362.312, 63.184, 24.504
399.534977, 430.176, 95.5947, 362.864, 67.312, 19.824
476.016531, 429.248, 95.3884, 364.24, 65.008, 20.752
608.718006, 427.552, 95.0116, 363.496, 64.056, 22.448
634.638556, 427.232, 94.9404, 360.856, 66.376, 22.768
660.563327, 427.84, 95.0756, 358.728, 69.112, 22.16
