Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
12.084823, 91, 6.31944, 75.952, 15.048, 1349
14.645012, 96.072, 6.67167, 80.44, 15.632, 1343.93
58.591131, 149.576, 10.3872, 130.672, 18.904, 1290.42
100.518224, 234.72, 16.3, 212.704, 22.016, 1205.28
124.910531, 305.584, 21.2211, 280.616, 24.968, 1134.42
382.273840, 443.144, 30.7739, 406.784, 36.36, 996.856
410.033606, 516.264, 35.8517, 474.208, 42.056, 923.736
425.636117, 536.8, 37.2778, 495.112, 41.688, 903.2
459.630364, 602.52, 41.8417, 554.752, 47.768, 837.48
469.542707, 636.328, 44.1894, 588.16, 48.168, 803.672
610.181640, 703.464, 48.8517, 651.432, 52.032, 736.536
652.931109, 765.544, 53.1628, 709.552, 55.992, 674.456
673.453132, 837.44, 58.1556, 778.6, 58.84, 602.56
688.131483, 879.776, 61.0956, 821.224, 58.552, 560.224
733.473906, 912.904, 63.3961, 845.832, 67.072, 527.096
782.059529, 995.64, 69.1417, 925.896, 69.744, 444.36
809.187671, 1087.14, 75.4956, 1012.31, 74.824, 352.864
832.777891, 1109.66, 77.06, 1030.29, 79.376, 330.336
855.916939, 1141.24, 79.2528, 1062.5, 78.736, 298.76
894.628590, 1173.52, 81.4944, 1090.77, 82.752, 266.48
916.223210, 1175.98, 81.6656, 1097.46, 78.52, 264.016
958.767431, 1184.22, 82.2378, 1107.8, 76.424, 255.776
989.703252, 1191.66, 82.7539, 1118.02, 73.632, 248.344
