Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
9.037479, 44.824, 5.18197, 28.528, 16.296, 820.176
12.697979, 45.24, 5.23006, 29.008, 16.232, 819.76
39.849651, 70.552, 8.1563, 47, 23.552, 794.448
62.161826, 89.208, 10.3131, 64.016, 25.192, 775.792
77.482461, 134.584, 15.5588, 106.784, 27.8, 730.416
87.106439, 148.248, 17.1385, 117.24, 31.008, 716.752
111.421783, 185.832, 21.4835, 149.992, 35.84, 679.168
129.425363, 214.928, 24.8472, 173.632, 41.296, 650.072
144.824947, 243.04, 28.0971, 198.168, 44.872, 621.96
152.269596, 244.648, 28.283, 197.76, 46.888, 620.352
158.185674, 244.888, 28.3108, 198.736, 46.152, 620.112
203.583246, 246.208, 28.4634, 195.248, 50.96, 618.792
305.099921, 252.688, 29.2125, 196.968, 55.72, 612.312
378.140431, 254.984, 29.4779, 196.816, 58.168, 610.016
