Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
9.614475, 131.248, 16.406, 110.488, 20.76, 668.752
12.479370, 131.688, 16.461, 111.016, 20.672, 668.312
34.322891, 215.744, 26.968, 190.96, 24.784, 584.256
53.822977, 291.88, 36.485, 261.536, 30.344, 508.12
75.516599, 367.416, 45.927, 330.624, 36.792, 432.584
96.732141, 443.384, 55.423, 399.304, 44.08, 356.616
121.643210, 487.352, 60.919, 434.768, 52.584, 312.648
479.226481, 502.792, 62.849, 452.216, 50.576, 297.208
519.082960, 540.272, 67.534, 485.216, 55.056, 259.728
537.464220, 577.096, 72.137, 516.328, 60.768, 222.904
554.588302, 613.416, 76.677, 549.536, 63.88, 186.584
575.191567, 661.528, 82.691, 593.272, 68.256, 138.472
594.317762, 704.864, 88.108, 630.768, 74.096, 95.136
611.169934, 736.488, 92.061, 655.104, 81.384, 63.512
630.985578, 746.16, 93.27, 664.632, 81.528, 53.84
641.649241, 747.28, 93.41, 665.96, 81.32, 52.72
670.804464, 747.28, 93.41, 662.72, 84.56, 52.72
680.334894, 746.28, 93.285, 660.296, 85.984, 53.72
791.782262, 747.104, 93.388, 651.96, 95.144, 52.896
795.884181, 747.16, 93.395, 652.592, 94.568, 52.84
847.612434, 747.864, 93.483, 654.304, 93.56, 52.136
872.494647, 746.68, 93.335, 656.488, 90.192, 53.32
1038.711227, 756.744, 94.593, 660.208, 96.536, 43.256
1128.830246, 757.68, 94.71, 659.44, 98.24, 42.32
1159.317425, 758.024, 94.753, 657.048, 100.976, 41.976
1201.071116, 758.28, 94.785, 654.512, 103.768, 41.72
