Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
9.581805, 170.776, 15.5251, 155.024, 15.752, 929.224
14.265913, 174.304, 15.8458, 157.872, 16.432, 925.696
36.969201, 338.824, 30.8022, 307.12, 31.704, 761.176
53.997925, 474.744, 43.1585, 428.08, 46.664, 625.256
67.184710, 588.016, 53.456, 534.8, 53.216, 511.984
94.834445, 770.368, 70.0335, 694.632, 75.736, 329.632
108.572223, 819.816, 74.5287, 734.672, 85.144, 280.184
131.355252, 843.904, 76.7185, 752.592, 91.312, 256.096
145.962229, 847.264, 77.024, 756.96, 90.304, 252.736
152.222705, 847.272, 77.0247, 756.792, 90.48, 252.728
192.919241, 880.304, 80.0276, 788.432, 91.872, 219.696
211.940564, 917.392, 83.3993, 817.024, 100.368, 182.608
247.254184, 996.96, 90.6327, 890.384, 106.576, 103.04
269.148457, 1006.62, 91.5113, 894.104, 112.52, 93.376
397.982592, 1022.58, 92.9622, 906.88, 115.704, 77.416
433.694622, 1025.12, 93.1927, 907.736, 117.384, 74.88
460.382358, 1027.66, 93.424, 914.464, 113.2, 72.336
512.926814, 1027.31, 93.392, 905.4, 121.912, 72.688
573.371394, 1028.14, 93.4676, 913.496, 114.648, 71.856
607.104321, 1027.46, 93.4051, 912.216, 115.24, 72.544
659.672773, 1027.25, 93.3862, 909.36, 117.888, 72.752
732.229279, 1028.07, 93.4611, 913.208, 114.864, 71.928
763.694634, 1028.22, 93.4742, 910.912, 117.304, 71.784
800.854459, 1028.6, 93.5091, 908.64, 119.96, 71.4
843.659654, 1028.86, 93.5331, 910.096, 118.768, 71.136
890.997436, 1027.68, 93.4255, 909.608, 118.072, 72.32
