Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
1.005000000, 87.136, 5.35398, 71.632, 15.504, 1540.36
6.045000000, 94.72, 5.81997, 78.072, 16.648, 1532.78
10.685000000, 101.288, 6.22353, 81.912, 19.376, 1526.21
18.915000000, 108.992, 6.6969, 86.472, 22.52, 1518.51
26.210000000, 109.448, 6.72492, 86.16, 23.288, 1518.05
34.045000000, 113.52, 6.97512, 88.184, 25.336, 1513.98
39.680000000, 121.552, 7.46863, 93.608, 27.944, 1505.95
46.840000000, 124, 7.61905, 95.248, 28.752, 1503.5
51.735000000, 142.12, 8.73241, 111.976, 30.144, 1485.38
57.240000000, 176.768, 10.8613, 141.64, 35.128, 1450.73
63.340000000, 189.52, 11.6449, 150.032, 39.488, 1437.98
70.100000000, 204.952, 12.5931, 162.528, 42.424, 1422.55
76.065000000, 217.408, 13.3584, 173.96, 43.448, 1410.09
84.365000000, 228.504, 14.0402, 181.816, 46.688, 1399
92.530000000, 254.384, 15.6304, 204.856, 49.528, 1373.12
100.910000000, 263, 16.1598, 210.68, 52.32, 1364.5
108.970000000, 263.368, 16.1824, 211.824, 51.544, 1364.13
114.880000000, 263.376, 16.1829, 211.584, 51.792, 1364.12
132.315000000, 290.608, 17.8561, 234.992, 55.616, 1336.89
157.545000000, 295.384, 18.1496, 235.344, 60.04, 1332.12
163.975000000, 295.384, 18.1496, 235.024, 60.36, 1332.12
171.805000000, 296.456, 18.2154, 236.112, 60.344, 1331.04
176.785000000, 296.592, 18.2238, 235.12, 61.472, 1330.91
182.080000000, 299.408, 18.3968, 235.736, 63.672, 1328.09
189.510000000, 311.168, 19.1194, 243.4, 67.768, 1316.33
196.740000000, 316.184, 19.4276, 245.728, 70.456, 1311.32
201.530000000, 317.728, 19.5225, 246.96, 70.768, 1309.77
207.235000000, 319.096, 19.6065, 248.384, 70.712, 1308.4
214.410000000, 319.848, 19.6527, 250.12, 69.728, 1307.65
220.305000000, 331.848, 20.39, 261.072, 70.776, 1295.65
226.800000000, 380.84, 23.4003, 302.432, 78.408, 1246.66
231.965000000, 413.816, 25.4265, 332.792, 81.024, 1213.68
239.745000000, 432.064, 26.5477, 347.904, 84.16, 1195.44
267.520000000, 448.416, 27.5524, 364.12, 84.296, 1179.08
272.565000000, 448.88, 27.581, 364.536, 84.344, 1178.62
279.415000000, 448.912, 27.5829, 364.544, 84.368, 1178.59
290.985000000, 450.048, 27.6527, 362.696, 87.352, 1177.45
295.955000000, 450.048, 27.6527, 362.824, 87.224, 1177.45
314.115000000, 467.112, 28.7012, 377.288, 89.824, 1160.39
320.610000000, 474.032, 29.1264, 383.296, 90.736, 1153.47
332.640000000, 476.416, 29.2729, 383.976, 92.44, 1151.08
340.615000000, 491.672, 30.2103, 396.712, 94.96, 1135.83
345.045000000, 517.168, 31.7768, 420.312, 96.856, 1110.33
350.015000000, 539.56, 33.1527, 438.888, 100.672, 1087.94
355.920000000, 547.744, 33.6555, 446.16, 101.584, 1079.76
361.545000000, 549.312, 33.7519, 447.584, 101.728, 1078.19
367.005000000, 549.552, 33.7666, 447.712, 101.84, 1077.95
373.570000000, 552.496, 33.9475, 449.984, 102.512, 1075
377.935000000, 559.28, 34.3644, 455.792, 103.488, 1068.22
382.770000000, 560.408, 34.4337, 456.928, 103.48, 1067.09
403.555000000, 569.664, 35.0024, 464.624, 105.04, 1057.84
411.315000000, 572.624, 35.1843, 466.816, 105.808, 1054.88
436.680000000, 577.336, 35.4738, 470.48, 106.856, 1050.16
443.705000000, 578.856, 35.5672, 469.92, 108.936, 1048.64
450.935000000, 581.064, 35.7029, 467.752, 113.312, 1046.44
481.105000000, 582.16, 35.7702, 469.96, 112.2, 1045.34
486.870000000, 582.176, 35.7712, 469.528, 112.648, 1045.32
492.765000000, 582.432, 35.7869, 469.624, 112.808, 1045.07
500.530000000, 582.752, 35.8066, 469.912, 112.84, 1044.75
505.820000000, 582.768, 35.8076, 469.936, 112.832, 1044.73
525.455000000, 587.568, 36.1025, 474.08, 113.488, 1039.93
532.220000000, 593.064, 36.4402, 478.88, 114.184, 1034.44
536.575000000, 593.064, 36.4402, 478.92, 114.144, 1034.44
542.275000000, 593.296, 36.4544, 479.192, 114.104, 1034.2
550.645000000, 607.296, 37.3147, 491.864, 115.432, 1020.2
570.880000000, 621.984, 38.2171, 505.32, 116.664, 1005.52
578.245000000, 630.704, 38.7529, 510.736, 119.968, 996.796
583.875000000, 642.296, 39.4652, 520.376, 121.92, 985.204
589.300000000, 645.512, 39.6628, 522.744, 122.768, 981.988
594.665000000, 648.192, 39.8275, 525.432, 122.76, 979.308
601.360000000, 678.216, 41.6723, 552.736, 125.48, 949.284
615.190000000, 678.288, 41.6767, 552.896, 125.392, 949.212
621.290000000, 678.344, 41.6801, 552.136, 126.208, 949.156
626.515000000, 678.384, 41.6826, 552.304, 126.08, 949.116
633.815000000, 678.776, 41.7067, 552.752, 126.024, 948.724
642.040000000, 678.792, 41.7076, 553.2, 125.592, 948.708
646.475000000, 678.792, 41.7076, 552.208, 126.584, 948.708
660.030000000, 683.864, 42.0193, 556.336, 127.528, 943.636
664.325000000, 685.76, 42.1358, 557.968, 127.792, 941.74
668.485000000, 691.36, 42.4799, 562.912, 128.448, 936.14
675.060000000, 693.592, 42.617, 564.336, 129.256, 933.908
682.285000000, 694.304, 42.6608, 564.432, 129.872, 933.196
687.510000000, 700.296, 43.0289, 567.576, 132.72, 927.204
708.205000000, 715.376, 43.9555, 578.712, 136.664, 912.124
715.040000000, 721.872, 44.3547, 583.808, 138.064, 905.628
720.535000000, 721.872, 44.3547, 583.44, 138.432, 905.628
728.900000000, 739.808, 45.4567, 597.856, 141.952, 887.692
736.730000000, 747.464, 45.9271, 602.464, 145, 880.036
744.300000000, 762.84, 46.8719, 614.6, 148.24, 864.66
766.930000000, 781.992, 48.0487, 627.616, 154.376, 845.508
773.565000000, 795.824, 48.8986, 638.376, 157.448, 831.676
781.870000000, 800.872, 49.2087, 642.632, 158.24, 826.628
786.300000000, 800.888, 49.2097, 642.264, 158.624, 826.612
793.670000000, 818.416, 50.2867, 657.224, 161.192, 809.084
797.965000000, 844.944, 51.9167, 679.664, 165.28, 782.556
801.925000000, 851.872, 52.3424, 684.568, 167.304, 775.628
807.825000000, 856.856, 52.6486, 688.032, 168.824, 770.644
814.585000000, 868.344, 53.3545, 698.08, 170.264, 759.156
837.690000000, 912.4, 56.0614, 740.416, 171.984, 715.1
844.990000000, 942.104, 57.8866, 764.44, 177.664, 685.396
853.040000000, 970.304, 59.6193, 789.544, 180.76, 657.196
859.950000000, 980.856, 60.2676, 799.096, 181.76, 646.644
872.985000000, 1001.48, 61.5349, 818.496, 182.984, 626.02
878.275000000, 1007.92, 61.9306, 823.136, 184.784, 619.58
883.840000000, 1008.43, 61.962, 823.464, 184.968, 619.068
891.410000000, 1013.1, 62.2486, 826.176, 186.92, 614.404
898.570000000, 1013.11, 62.2496, 823.304, 189.808, 614.388
905.865000000, 1014.29, 62.3218, 826.08, 188.208, 613.212
914.000000000, 1014.3, 62.3223, 825.536, 188.76, 613.204
920.570000000, 1014.3, 62.3223, 824.288, 190.008, 613.204
928.335000000, 1014.31, 62.3233, 824.192, 190.12, 613.188
936.165000000, 1014.31, 62.3233, 824.056, 190.256, 613.188
943.260000000, 1014.35, 62.3258, 823.6, 190.752, 613.148
965.760000000, 1014.36, 62.3263, 824.648, 189.712, 613.14
971.735000000, 1014.64, 62.3435, 824.992, 189.648, 612.86
977.190000000, 1014.64, 62.3435, 824.776, 189.864, 612.86
981.625000000, 1014.64, 62.3435, 824.856, 189.784, 612.86
986.530000000, 1014.64, 62.3435, 824.32, 190.32, 612.86
993.425000000, 1014.64, 62.3435, 824, 190.64, 612.86
999.935000000, 1014.64, 62.3435, 824.056, 190.584, 612.86
1021.910000000, 1014.67, 62.3454, 824.432, 190.24, 612.828
1043.410000000, 1014.67, 62.3454, 824.464, 190.208, 612.828
1048.780000000, 1014.67, 62.3454, 824.488, 190.184, 612.828
1054.585000000, 1014.67, 62.3454, 825.088, 189.584, 612.828
1061.560000000, 1014.72, 62.3484, 823.512, 191.208, 612.78
1069.005000000, 1014.72, 62.3484, 823.44, 191.28, 612.78
1095.710000000, 1014.72, 62.3484, 823.504, 191.216, 612.78
