Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
1.008000000, 107.216, 13.4356, 86.736, 20.48, 690.784
5.621000000, 109.8, 13.7594, 87.264, 22.536, 688.2
9.232000000, 109.992, 13.7835, 86.856, 23.136, 688.008
12.911000000, 111.304, 13.9479, 87.072, 24.232, 686.696
16.458000000, 114.512, 14.3499, 88.992, 25.52, 683.488
21.869000000, 149.912, 18.786, 117.896, 32.016, 648.088
26.483000000, 193.568, 24.2566, 154.76, 38.808, 604.432
30.295000000, 207.696, 26.0271, 166.12, 41.576, 590.304
36.574000000, 230.944, 28.9404, 183.136, 47.808, 567.056
43.453000000, 239.344, 29.993, 188.592, 50.752, 558.656
47.069000000, 241.808, 30.3018, 190.848, 50.96, 556.192
50.747000000, 249.072, 31.212, 197.248, 51.824, 548.928
56.761000000, 252.52, 31.6441, 200.28, 52.24, 545.48
60.843000000, 253.688, 31.7905, 200.872, 52.816, 544.312
67.808000000, 281.84, 35.3183, 225.288, 56.552, 516.16
71.490000000, 295.792, 37.0667, 235.704, 60.088, 502.208
76.367000000, 306.128, 38.3619, 243.568, 62.56, 491.872
81.135000000, 312.392, 39.1469, 248.392, 64, 485.608
85.415000000, 317.856, 39.8316, 252.08, 65.776, 480.144
91.428000000, 337.96, 42.3509, 268.48, 69.48, 460.04
96.709000000, 346.8, 43.4586, 274.408, 72.392, 451.2
102.189000000, 364.68, 45.6992, 289.352, 75.328, 433.32
106.736000000, 389.44, 48.802, 309.416, 80.024, 408.56
111.613000000, 403.264, 50.5343, 320.448, 82.816, 394.736
117.721000000, 419.168, 52.5273, 333.216, 85.952, 378.832
122.136000000, 419.336, 52.5484, 333.096, 86.24, 378.664
127.155000000, 419.744, 52.5995, 332.984, 86.76, 378.256
132.774000000, 425.504, 53.3213, 337.4, 88.104, 372.496
138.454000000, 427.304, 53.5469, 338.088, 89.216, 370.696
143.597000000, 427.928, 53.6251, 338.488, 89.44, 370.072
148.876000000, 429.248, 53.7905, 339.632, 89.616, 368.752
154.488000000, 429.336, 53.8015, 340.096, 89.24, 368.664
160.433000000, 430.648, 53.9659, 342.84, 87.808, 367.352
167.584000000, 431.312, 54.0491, 343.728, 87.584, 366.688
171.263000000, 431.384, 54.0581, 343.536, 87.848, 366.616
177.879000000, 432.472, 54.1945, 343.264, 89.208, 365.528
181.560000000, 433.488, 54.3218, 343.728, 89.76, 364.512
185.641000000, 433.696, 54.3479, 343.904, 89.792, 364.304
190.722000000, 433.744, 54.3539, 343.808, 89.936, 364.256
194.802000000, 433.896, 54.3729, 342.904, 90.992, 364.104
198.412000000, 434.368, 54.4321, 343.544, 90.824, 363.632
203.623000000, 435.064, 54.5193, 343.304, 91.76, 362.936
216.907000000, 465.432, 58.3248, 367.848, 97.584, 332.568
222.319000000, 479.328, 60.0662, 378, 101.328, 318.672
225.865000000, 479.696, 60.1123, 378.304, 101.392, 318.304
229.944000000, 480.584, 60.2236, 379.176, 101.408, 317.416
233.492000000, 480.912, 60.2647, 379.648, 101.264, 317.088
240.105000000, 488.088, 61.1639, 385.664, 102.424, 309.912
245.250000000, 534.648, 66.9985, 427.224, 107.424, 263.352
251.525000000, 542.056, 67.9268, 432.928, 109.128, 255.944
256.872000000, 544.088, 68.1815, 434.96, 109.128, 253.912
261.023000000, 546.36, 68.4662, 437.288, 109.072, 251.64
266.253000000, 548.808, 68.7729, 439.272, 109.536, 249.192
272.601000000, 550.224, 68.9504, 440.44, 109.784, 247.776
278.149000000, 550.608, 68.9985, 441.72, 108.888, 247.392
282.025000000, 551.048, 69.0536, 442.6, 108.448, 246.952
288.840000000, 551.472, 69.1068, 442.912, 108.56, 246.528
294.723000000, 551.584, 69.1208, 443.592, 107.992, 246.416
299.605000000, 551.896, 69.1599, 445.44, 106.456, 246.104
303.151000000, 552.632, 69.2521, 446.504, 106.128, 245.368
309.337000000, 555.544, 69.617, 449.424, 106.12, 242.456
314.751000000, 555.992, 69.6732, 449.752, 106.24, 242.008
320.030000000, 556.192, 69.6982, 449.992, 106.2, 241.808
326.043000000, 556.376, 69.7213, 450.248, 106.128, 241.624
330.859000000, 556.608, 69.7504, 450.48, 106.128, 241.392
335.473000000, 556.728, 69.7654, 450.08, 106.648, 241.272
340.956000000, 557.112, 69.8135, 450.776, 106.336, 240.888
347.182000000, 557.2, 69.8246, 449.192, 108.008, 240.8
356.196000000, 557.392, 69.8486, 449.584, 107.808, 240.608
361.073000000, 557.392, 69.8486, 449.176, 108.216, 240.608
368.157000000, 557.48, 69.8596, 448.824, 108.656, 240.52
374.238000000, 557.672, 69.8837, 448.752, 108.92, 240.328
379.654000000, 557.864, 69.9078, 448.664, 109.2, 240.136
385.599000000, 562.648, 70.5073, 452.368, 110.28, 235.352
389.620000000, 564.072, 70.6857, 452.72, 111.352, 233.928
393.099000000, 564.104, 70.6897, 452.688, 111.416, 233.896
407.311000000, 567.04, 71.0576, 454.488, 112.552, 230.96
461.189000000, 588.24, 73.7143, 471.688, 116.552, 209.76
464.810000000, 600.56, 75.2581, 480.16, 120.4, 197.44
468.355000000, 606.056, 75.9469, 484.456, 121.6, 191.944
486.501000000, 609.72, 76.406, 485.08, 124.64, 188.28
492.728000000, 610.192, 76.4652, 485.312, 124.88, 187.808
498.872000000, 610.176, 76.4632, 485.608, 124.568, 187.824
519.353000000, 610.528, 76.5073, 484.984, 125.544, 187.472
525.166000000, 610.528, 76.5073, 485.368, 125.16, 187.472
537.046000000, 610.56, 76.5113, 485.056, 125.504, 187.44
543.793000000, 610.592, 76.5153, 484.736, 125.856, 187.408
549.937000000, 612.136, 76.7088, 485.48, 126.656, 185.864
555.219000000, 615.016, 77.0697, 486.896, 128.12, 182.984
568.174000000, 615.184, 77.0907, 488.336, 126.848, 182.816
571.818000000, 615.24, 77.0977, 488.608, 126.632, 182.76
575.063000000, 615.464, 77.1258, 488.208, 127.256, 182.536
581.743000000, 616.32, 77.2331, 487.936, 128.384, 181.68
585.354000000, 618.656, 77.5258, 491.336, 127.32, 179.344
590.567000000, 619.4, 77.619, 492.328, 127.072, 178.6
597.518000000, 619.376, 77.616, 492.384, 126.992, 178.624
602.464000000, 619.488, 77.6301, 492.368, 127.12, 178.512
606.079000000, 619.504, 77.6321, 492.864, 126.64, 178.496
609.629000000, 619.544, 77.6371, 493.24, 126.304, 178.456
615.180000000, 619.648, 77.6501, 493.368, 126.28, 178.352
618.665000000, 619.992, 77.6932, 493.744, 126.248, 178.008
623.678000000, 620.112, 77.7083, 494.728, 125.384, 177.888
630.491000000, 625.888, 78.4321, 499.968, 125.92, 172.112
636.107000000, 634.4, 79.4987, 506.272, 128.128, 163.6
641.386000000, 635.128, 79.59, 507.904, 127.224, 162.872
652.732000000, 636.976, 79.8216, 509.816, 127.16, 161.024
658.077000000, 648.848, 81.3093, 519.88, 128.968, 149.152
662.494000000, 649.704, 81.4165, 520.552, 129.152, 148.296
666.706000000, 649.984, 81.4516, 520.92, 129.064, 148.016
670.255000000, 650.192, 81.4777, 521.192, 129, 147.808
674.198000000, 650.216, 81.4807, 521.232, 128.984, 147.784
684.877000000, 650.456, 81.5108, 521.344, 129.112, 147.544
691.354000000, 651.584, 81.6521, 522.184, 129.4, 146.416
697.104000000, 652.456, 81.7614, 523.072, 129.384, 145.544
703.320000000, 654.088, 81.9659, 524.568, 129.52, 143.912
707.536000000, 654.328, 81.996, 524.92, 129.408, 143.672
713.020000000, 655.048, 82.0862, 525.736, 129.312, 142.952
716.968000000, 655.504, 82.1434, 525.928, 129.576, 142.496
721.978000000, 656.056, 82.2125, 528.12, 127.936, 141.944
728.658000000, 656.224, 82.2336, 527.976, 128.248, 141.776
732.936000000, 656.528, 82.2717, 527.336, 129.192, 141.472
738.012000000, 658.48, 82.5163, 529.328, 129.152, 139.52
742.517000000, 659.36, 82.6266, 529.776, 129.584, 138.64
747.542000000, 659.512, 82.6456, 529.088, 130.424, 138.488
753.487000000, 659.872, 82.6907, 528.928, 130.944, 138.128
756.627000000, 659.88, 82.6917, 528.736, 131.144, 138.12
760.942000000, 659.848, 82.6877, 527.92, 131.928, 138.152
765.688000000, 659.688, 82.6677, 527.712, 131.976, 138.312
769.104000000, 659.816, 82.6837, 528.08, 131.736, 138.184
773.915000000, 659.832, 82.6857, 528.48, 131.352, 138.168
778.226000000, 660.792, 82.806, 529.696, 131.096, 137.208
782.840000000, 663.24, 83.1128, 532.016, 131.224, 134.76
787.274000000, 663.328, 83.1238, 532.216, 131.112, 134.672
793.156000000, 663.368, 83.1288, 531.816, 131.552, 134.632
796.705000000, 663.456, 83.1398, 531.664, 131.792, 134.544
801.348000000, 663.576, 83.1549, 531.616, 131.96, 134.424
806.760000000, 663.64, 83.1629, 531.56, 132.08, 134.36
813.642000000, 663.968, 83.204, 531.344, 132.624, 134.032
819.986000000, 664.016, 83.21, 530.44, 133.576, 133.984
825.063000000, 664.096, 83.2201, 530.28, 133.816, 133.904
830.143000000, 664.112, 83.2221, 529.816, 134.296, 133.888
836.024000000, 664.304, 83.2461, 529.656, 134.648, 133.696
841.971000000, 665.896, 83.4456, 530.64, 135.256, 132.104
848.384000000, 668.192, 83.7333, 531.896, 136.296, 129.808
854.862000000, 668.296, 83.7464, 531.176, 137.12, 129.704
861.006000000, 668.544, 83.7774, 531.2, 137.344, 129.456
867.753000000, 670.304, 83.998, 531.88, 138.424, 127.696
874.172000000, 670.88, 84.0702, 532.128, 138.752, 127.12
879.054000000, 671.072, 84.0942, 532.928, 138.144, 126.928
885.601000000, 671.28, 84.1203, 533.024, 138.256, 126.72
890.049000000, 671.248, 84.1163, 532.784, 138.464, 126.752
896.663000000, 671.568, 84.1564, 532.64, 138.928, 126.432
903.411000000, 672.144, 84.2286, 533.52, 138.624, 125.856
910.223000000, 672.12, 84.2256, 533.824, 138.296, 125.88
917.105000000, 672.912, 84.3248, 535.144, 137.768, 125.088
923.054000000, 672.888, 84.3218, 536.024, 136.864, 125.112
929.013000000, 672.968, 84.3318, 535.72, 137.248, 125.032
933.427000000, 673.048, 84.3419, 536.728, 136.32, 124.952
939.176000000, 673.136, 84.3529, 538.248, 134.888, 124.864
942.664000000, 673.224, 84.3639, 538.344, 134.88, 124.776
948.741000000, 673.368, 84.382, 537.4, 135.968, 124.632
955.489000000, 673.408, 84.387, 537.728, 135.68, 124.592
958.201000000, 673.432, 84.39, 538.128, 135.304, 124.568
962.955000000, 673.592, 84.41, 537.984, 135.608, 124.408
967.386000000, 673.752, 84.4301, 537.904, 135.848, 124.248
971.331000000, 673.776, 84.4331, 537.848, 135.928, 124.224
976.412000000, 673.8, 84.4361, 537.392, 136.408, 124.2
981.556000000, 673.856, 84.4431, 537.488, 136.368, 124.144
985.637000000, 673.92, 84.4511, 537.576, 136.344, 124.08
990.649000000, 673.968, 84.4571, 537.272, 136.696, 124.032
995.282000000, 674, 84.4612, 537.088, 136.912, 124
1001.694000000, 674.12, 84.4762, 537, 137.12, 123.88
1007.773000000, 674.24, 84.4912, 536.992, 137.248, 123.76
1011.253000000, 674.248, 84.4922, 537.024, 137.224, 123.752
1016.684000000, 674.312, 84.5003, 536.864, 137.448, 123.688
1023.029000000, 674.696, 84.5484, 537.344, 137.352, 123.304
1026.908000000, 675.144, 84.6045, 538.536, 136.608, 122.856
1031.392000000, 676.224, 84.7398, 539.544, 136.68, 121.776
1037.008000000, 676.232, 84.7409, 539.088, 137.144, 121.768
1040.555000000, 676.232, 84.7409, 539.184, 137.048, 121.768
1045.801000000, 676.84, 84.817, 539.328, 137.512, 121.16
1050.735000000, 677.096, 84.8491, 539.464, 137.632, 120.904
1053.845000000, 677.12, 84.8521, 539.136, 137.984, 120.88
1059.123000000, 677.136, 84.8541, 538.736, 138.4, 120.864
1063.003000000, 677.136, 84.8541, 539.16, 137.976, 120.864
1069.415000000, 677.24, 84.8672, 537.696, 139.544, 120.76
1074.960000000, 677.504, 84.9003, 538.072, 139.432, 120.496
1078.473000000, 677.736, 84.9293, 538.152, 139.584, 120.264
1081.582000000, 679.112, 85.1018, 539.6, 139.512, 118.888
1085.796000000, 680.368, 85.2591, 540.864, 139.504, 117.632
1092.885000000, 680.544, 85.2812, 541, 139.544, 117.456
1098.504000000, 680.8, 85.3133, 541.152, 139.648, 117.2
1102.313000000, 680.8, 85.3133, 541.328, 139.472, 117.2
1107.591000000, 680.768, 85.3093, 541.552, 139.216, 117.232
1111.739000000, 680.768, 85.3093, 541.784, 138.984, 117.232
1115.686000000, 680.8, 85.3133, 541.864, 138.936, 117.2
1119.230000000, 680.896, 85.3253, 541.864, 139.032, 117.104
1125.575000000, 681.008, 85.3393, 541.784, 139.224, 116.992
1130.993000000, 681.128, 85.3544, 541.832, 139.296, 116.872
1134.618000000, 681.28, 85.3734, 541.912, 139.368, 116.72
1138.968000000, 681.336, 85.3805, 541.944, 139.392, 116.664
1143.655000000, 681.304, 85.3764, 541.904, 139.4, 116.696
1149.339000000, 681.352, 85.3825, 541.68, 139.672, 116.648
1154.750000000, 681.424, 85.3915, 541.008, 140.416, 116.576
1159.696000000, 681.424, 85.3915, 541.032, 140.392, 116.576
1164.840000000, 681.456, 85.3955, 541.152, 140.304, 116.544
1169.653000000, 681.464, 85.3965, 540.568, 140.896, 116.536
1176.217000000, 681.432, 85.3925, 539.88, 141.552, 116.568
1182.029000000, 683.536, 85.6561, 540.48, 143.056, 114.464
1186.042000000, 685.608, 85.9158, 539.816, 145.792, 112.392
