Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
1.010000000, 33.8, 6.62745, 27.24, 6.56, 476.2
24.560000000, 43.72, 8.57255, 37.184, 6.536, 466.28
30.904000000, 72.584, 14.2322, 59.464, 13.12, 437.416
34.178000000, 80.144, 15.7145, 66.096, 14.048, 429.856
39.925000000, 92.8, 18.1961, 75.36, 17.44, 417.2
45.206000000, 101, 19.8039, 81.352, 19.648, 409
52.216000000, 131.2, 25.7255, 109.192, 22.008, 378.8
55.159000000, 138.776, 27.211, 114.464, 24.312, 371.224
60.705000000, 144.664, 28.3655, 117.76, 26.904, 365.336
66.523000000, 157.536, 30.8894, 129.464, 28.072, 352.464
71.735000000, 175.448, 34.4016, 145.584, 29.864, 334.552
76.282000000, 197.336, 38.6933, 164.296, 33.04, 312.664
83.299000000, 216.192, 42.3906, 179.216, 36.976, 293.808
88.043000000, 218.408, 42.8251, 181.472, 36.936, 291.592
92.922000000, 231.68, 45.4275, 192.136, 39.544, 278.32
98.137000000, 270.896, 53.1169, 228.568, 42.328, 239.104
102.688000000, 298.12, 58.4549, 252.504, 45.616, 211.88
108.897000000, 303.712, 59.5514, 255.192, 48.52, 206.288
113.377000000, 308.928, 60.5741, 258.88, 50.048, 201.072
119.391000000, 312.08, 61.1922, 260.048, 52.032, 197.92
123.094000000, 312.288, 61.2329, 261.272, 51.016, 197.712
128.305000000, 314.944, 61.7537, 264.752, 50.192, 195.056
133.849000000, 320.432, 62.8298, 268.736, 51.696, 189.568
138.396000000, 324.712, 63.669, 271.128, 53.584, 185.288
142.405000000, 324.888, 63.7035, 272.112, 52.776, 185.112
147.547000000, 325.08, 63.7412, 272.496, 52.584, 184.92
153.228000000, 325.376, 63.7992, 272.784, 52.592, 184.624
158.640000000, 325.8, 63.8824, 273.304, 52.496, 184.2
163.119000000, 325.84, 63.8902, 272.808, 53.032, 184.16
166.730000000, 325.84, 63.8902, 271.048, 54.792, 184.16
173.210000000, 325.84, 63.8902, 270.824, 55.016, 184.16
177.758000000, 325.84, 63.8902, 270.784, 55.056, 184.16
