Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
1.005000000, 89.8, 19.9556, 79.352, 10.448, 360.2
4.617000000, 91.2, 20.2667, 80.544, 10.656, 358.8
9.695000000, 101.096, 22.4658, 88.832, 12.264, 348.904
14.039000000, 122.592, 27.2427, 108.568, 14.024, 327.408
29.850000000, 163.848, 36.4107, 146.304, 17.544, 286.152
35.264000000, 180.656, 40.1458, 161.408, 19.248, 269.344
42.145000000, 201.632, 44.8071, 180.304, 21.328, 248.368
46.060000000, 206.952, 45.9893, 183.816, 23.136, 243.048
50.811000000, 220.304, 48.9564, 195.736, 24.568, 229.696
56.490000000, 225.424, 50.0942, 200.008, 25.416, 224.576
62.439000000, 238.648, 53.0329, 212.168, 26.48, 211.352
66.581000000, 257.568, 57.2373, 229.24, 28.328, 192.432
72.193000000, 301.28, 66.9511, 268.344, 32.936, 148.72
77.403000000, 310.104, 68.912, 276.184, 33.92, 139.896
81.818000000, 314.88, 69.9733, 280.504, 34.376, 135.12
88.228000000, 318.896, 70.8658, 283.632, 35.264, 131.104
92.128000000, 319.896, 71.088, 284.648, 35.248, 130.104
99.009000000, 329.072, 73.1271, 293.016, 36.056, 120.928
117.467000000, 335.048, 74.4551, 297.744, 37.304, 114.952
123.148000000, 360.904, 80.2009, 318.832, 42.072, 89.096
126.695000000, 361.464, 80.3253, 318.232, 43.232, 88.536
133.515000000, 362, 80.4444, 318.688, 43.312, 88
139.993000000, 362.256, 80.5013, 318.928, 43.328, 87.744
146.810000000, 362.336, 80.5191, 318.76, 43.576, 87.664
158.422000000, 369.376, 82.0836, 325.032, 44.344, 80.624
164.531000000, 369.376, 82.0836, 325.152, 44.224, 80.624
170.152000000, 369.376, 82.0836, 325.152, 44.224, 80.624
176.899000000, 369.944, 82.2098, 325.128, 44.816, 80.056
184.046000000, 370.32, 82.2933, 323.288, 47.032, 79.68
189.877000000, 367.848, 81.744, 320.848, 47, 82.152
203.623000000, 368.952, 81.9893, 321.2, 47.752, 81.048
216.102000000, 368.856, 81.968, 320.888, 47.968, 81.144
221.784000000, 369.744, 82.1653, 321.776, 47.968, 80.256
226.668000000, 370.36, 82.3022, 322.44, 47.92, 79.64
232.160000000, 370.36, 82.3022, 322.408, 47.952, 79.64
263.972000000, 373.472, 82.9938, 323.888, 49.584, 76.528
270.452000000, 373.36, 82.9689, 323.632, 49.728, 76.64
274.461000000, 373.36, 82.9689, 323.704, 49.656, 76.64
279.739000000, 373.36, 82.9689, 323.672, 49.688, 76.64
283.763000000, 372.752, 82.8338, 323.256, 49.496, 77.248
287.640000000, 373.392, 82.976, 323.808, 49.584, 76.608
292.985000000, 374.344, 83.1876, 324.168, 50.176, 75.656
297.685000000, 374.344, 83.1876, 324.168, 50.176, 75.656
303.828000000, 373.288, 82.9529, 323.256, 50.032, 76.712
307.908000000, 373.288, 82.9529, 323.232, 50.056, 76.712
324.923000000, 373.256, 82.9458, 323.736, 49.52, 76.744
346.804000000, 374.896, 83.3102, 325.032, 49.864, 75.104
358.949000000, 373.584, 83.0187, 325.16, 48.424, 76.416
364.900000000, 373.584, 83.0187, 325.2, 48.384, 76.416
370.182000000, 373.584, 83.0187, 325.144, 48.44, 76.416
387.593000000, 367.184, 81.5964, 318.736, 48.448, 82.816
392.339000000, 367.184, 81.5964, 318.648, 48.536, 82.816
398.616000000, 367.952, 81.7671, 319.4, 48.552, 82.048
405.159000000, 367.952, 81.7671, 319.4, 48.552, 82.048
408.770000000, 367.952, 81.7671, 319.4, 48.552, 82.048
414.382000000, 368.208, 81.824, 319.68, 48.528, 81.792
425.329000000, 368.208, 81.824, 319.76, 48.448, 81.792
428.809000000, 368.208, 81.824, 319.736, 48.472, 81.792
433.020000000, 368.208, 81.824, 319.744, 48.464, 81.792
439.499000000, 368.928, 81.984, 320.376, 48.552, 81.072
460.983000000, 367.992, 81.776, 319.256, 48.736, 82.008
466.126000000, 367.992, 81.776, 319.336, 48.656, 82.008
470.939000000, 370.504, 82.3342, 319.736, 50.768, 79.496
474.815000000, 373.536, 83.008, 321.696, 51.84, 76.464
478.826000000, 381.384, 84.752, 327.656, 53.728, 68.616
483.308000000, 391.28, 86.9511, 334.768, 56.512, 58.72
488.200000000, 391.088, 86.9084, 334.408, 56.68, 58.912
494.017000000, 391.088, 86.9084, 334.432, 56.656, 58.912
497.564000000, 391.088, 86.9084, 334.368, 56.72, 58.912
514.443000000, 389.776, 86.6169, 332.952, 56.824, 60.224
519.972000000, 389.776, 86.6169, 333.008, 56.768, 60.224
526.252000000, 389.776, 86.6169, 333, 56.776, 60.224
531.197000000, 389.776, 86.6169, 333.008, 56.768, 60.224
542.546000000, 390.032, 86.6738, 333.496, 56.536, 59.968
547.983000000, 391.584, 87.0187, 334.84, 56.744, 58.416
552.350000000, 392.592, 87.2427, 335.424, 57.168, 57.408
558.229000000, 392.592, 87.2427, 335.208, 57.384, 57.408
561.773000000, 392.328, 87.184, 335.088, 57.24, 57.672
577.256000000, 394.352, 87.6338, 337.08, 57.272, 55.648
583.002000000, 398.72, 88.6044, 340.112, 58.608, 51.28
587.017000000, 407.96, 90.6578, 346.944, 61.016, 42.04
592.298000000, 407.184, 90.4853, 345.888, 61.296, 42.816
599.181000000, 407.576, 90.5724, 345.936, 61.64, 42.424
602.813000000, 408.072, 90.6827, 346.016, 62.056, 41.928
603.894000000, 408.072, 90.6827, 346.016, 62.056, 41.928
604.895000000, 408.072, 90.6827, 346.016, 62.056, 41.928
605.896000000, 408.072, 90.6827, 346.016, 62.056, 41.928
606.897000000, 408.072, 90.6827, 346.016, 62.056, 41.928
606.897000000, 408.072, 90.6827, 346.016, 62.056, 41.928
