Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
1.007000000, 152.32, 33.8489, 138.76, 13.56, 297.68
4.490000000, 153.264, 34.0587, 139.488, 13.776, 296.736
8.434000000, 154.6, 34.3556, 140.536, 14.064, 295.4
15.180000000, 158.704, 35.2676, 143.472, 15.232, 291.296
19.994000000, 164.376, 36.528, 148.28, 16.096, 285.624
24.469000000, 165.384, 36.752, 149.088, 16.296, 284.616
30.420000000, 176.104, 39.1342, 158.696, 17.408, 273.896
35.965000000, 186.912, 41.536, 168.168, 18.744, 263.088
42.515000000, 210.96, 46.88, 188.536, 22.424, 239.04
47.993000000, 217.888, 48.4196, 193.68, 24.208, 232.112
53.002000000, 217.632, 48.3627, 193.464, 24.168, 232.368
58.615000000, 239.848, 53.2996, 210.04, 29.808, 210.152
63.227000000, 251.992, 55.9982, 219.544, 32.448, 198.008
67.910000000, 254.808, 56.624, 222.064, 32.744, 195.192
74.681000000, 257.432, 57.2071, 224.344, 33.088, 192.568
80.293000000, 259.552, 57.6782, 226.288, 33.264, 190.448
85.705000000, 262.264, 58.2809, 228.792, 33.472, 187.736
90.781000000, 270.648, 60.144, 236.424, 34.224, 179.352
95.260000000, 289.104, 64.2453, 253.064, 36.04, 160.896
100.872000000, 294.04, 65.3422, 256.088, 37.952, 155.96
107.286000000, 304.816, 67.7369, 263.104, 41.712, 145.184
111.965000000, 320.984, 71.3298, 275.976, 45.008, 129.016
118.240000000, 323.784, 71.952, 277.992, 45.792, 126.216
123.720000000, 332.312, 73.8471, 285.392, 46.92, 117.688
127.603000000, 348.368, 77.4151, 299.472, 48.896, 101.632
133.286000000, 351.296, 78.0658, 302.12, 49.176, 98.704
140.167000000, 351.552, 78.1227, 302.224, 49.328, 98.448
144.181000000, 356.728, 79.2729, 306.656, 50.072, 93.272
149.924000000, 374.368, 83.1929, 321.544, 52.824, 75.632
153.802000000, 379.712, 84.3804, 326.4, 53.312, 70.288
158.485000000, 380.176, 84.4836, 326.784, 53.392, 69.824
