Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
1.005000000, 87.152, 6.05222, 72.448, 14.704, 1352.85
9.375000000, 92.032, 6.39111, 77.072, 14.96, 1347.97
13.810000000, 92.848, 6.44778, 77.744, 15.104, 1347.15
18.375000000, 94.488, 6.56167, 79.176, 15.312, 1345.51
25.805000000, 110.952, 7.705, 94.064, 16.888, 1329.05
31.630000000, 142.408, 9.88944, 121.408, 21, 1297.59
37.665000000, 166.208, 11.5422, 141.944, 24.264, 1273.79
45.160000000, 171.192, 11.8883, 145.328, 25.864, 1268.81
50.795000000, 173.752, 12.0661, 148.176, 25.576, 1266.25
60.225000000, 211.048, 14.6561, 181.072, 29.976, 1228.95
67.655000000, 224.824, 15.6128, 192.856, 31.968, 1215.18
72.020000000, 226.32, 15.7167, 194.296, 32.024, 1213.68
82.980000000, 234.608, 16.2922, 202.536, 32.072, 1205.39
91.545000000, 282.224, 19.5989, 244.984, 37.24, 1157.78
96.055000000, 298.232, 20.7106, 259.12, 39.112, 1141.77
104.485000000, 314.448, 21.8367, 274.064, 40.384, 1125.55
110.840000000, 321.216, 22.3067, 280.368, 40.848, 1118.78
116.735000000, 325.2, 22.5833, 283.816, 41.384, 1114.8
123.250000000, 330.376, 22.9428, 288.432, 41.944, 1109.62
130.275000000, 375.976, 26.1094, 329.424, 46.552, 1064.02
138.305000000, 412.176, 28.6233, 361.688, 50.488, 1027.82
144.265000000, 425.088, 29.52, 373.312, 51.776, 1014.91
152.900000000, 432.552, 30.0383, 380.456, 52.096, 1007.45
162.925000000, 435.848, 30.2672, 384.208, 51.64, 1004.15
170.355000000, 436.912, 30.3411, 385.104, 51.808, 1003.09
178.490000000, 442.88, 30.7556, 390.624, 52.256, 997.12
187.455000000, 449.72, 31.2306, 396.856, 52.864, 990.28
195.690000000, 450.024, 31.2517, 397.168, 52.856, 989.976
202.860000000, 450.384, 31.2767, 397.472, 52.912, 989.616
208.625000000, 450.968, 31.3172, 398.008, 52.96, 989.032
214.655000000, 453, 31.4583, 400.048, 52.952, 987
221.920000000, 453.704, 31.5072, 400.8, 52.904, 986.296
226.950000000, 454.88, 31.5889, 401.96, 52.92, 985.12
233.045000000, 461.168, 32.0256, 408.272, 52.896, 978.832
241.080000000, 468.024, 32.5017, 414.32, 53.704, 971.976
249.385000000, 516.448, 35.8644, 458.264, 58.184, 923.552
255.950000000, 536.056, 37.2261, 475.904, 60.152, 903.944
264.515000000, 540.544, 37.5378, 480.168, 60.376, 899.456
270.815000000, 547.656, 38.0317, 486.544, 61.112, 892.344
275.325000000, 548.56, 38.0944, 487.2, 61.36, 891.44
281.425000000, 549.696, 38.1733, 488.248, 61.448, 890.304
287.390000000, 551.848, 38.3228, 490.176, 61.672, 888.152
291.145000000, 551.88, 38.325, 490.224, 61.656, 888.12
296.175000000, 554.752, 38.5244, 493.112, 61.64, 885.248
300.740000000, 554.936, 38.5372, 493.304, 61.632, 885.064
308.580000000, 558.064, 38.7544, 496.328, 61.736, 881.936
316.340000000, 558.96, 38.8167, 497.168, 61.792, 881.04
333.440000000, 581.4, 40.375, 518.712, 62.688, 858.6
340.520000000, 589.568, 40.9422, 525.816, 63.752, 850.432
346.410000000, 590.36, 40.9972, 526.56, 63.8, 849.64
354.455000000, 613.544, 42.6072, 548.304, 65.24, 826.456
361.620000000, 649.552, 45.1078, 581.16, 68.392, 790.448
366.315000000, 654.8, 45.4722, 585.888, 68.912, 785.2
370.675000000, 655.864, 45.5461, 586.872, 68.992, 784.136
387.775000000, 664.68, 46.1583, 595.664, 69.016, 775.32
392.275000000, 664.68, 46.1583, 595.68, 69, 775.32
401.570000000, 672.104, 46.6739, 602.736, 69.368, 767.896
407.195000000, 700.832, 48.6689, 628.776, 72.056, 739.168
413.295000000, 711.64, 49.4194, 638.6, 73.04, 728.36
419.790000000, 722.432, 50.1689, 648.168, 74.264, 717.568
426.825000000, 725.696, 50.3956, 651.352, 74.344, 714.304
432.720000000, 733.92, 50.9667, 659.04, 74.88, 706.08
438.815000000, 736.592, 51.1522, 661.608, 74.984, 703.408
446.445000000, 738.528, 51.2867, 663.592, 74.936, 701.472
451.145000000, 740.216, 51.4039, 665.272, 74.944, 699.784
458.705000000, 742.712, 51.5772, 667.768, 74.944, 697.288
463.065000000, 742.904, 51.5906, 667.976, 74.928, 697.096
476.120000000, 748.88, 52.0056, 673.928, 74.952, 691.12
480.680000000, 748.88, 52.0056, 674.024, 74.856, 691.12
490.715000000, 750.704, 52.1322, 675.768, 74.936, 689.296
507.085000000, 765.64, 53.1694, 690.32, 75.32, 674.36
516.450000000, 771.352, 53.5661, 695.44, 75.912, 668.648
522.545000000, 774.32, 53.7722, 698.176, 76.144, 665.68
527.705000000, 780.744, 54.2183, 704, 76.744, 659.256
537.135000000, 781.248, 54.2533, 704.568, 76.68, 658.752
543.445000000, 781.248, 54.2533, 704.464, 76.784, 658.752
558.350000000, 786.312, 54.605, 709.632, 76.68, 653.688
563.380000000, 786.368, 54.6089, 709.688, 76.68, 653.632
572.265000000, 786.736, 54.6344, 710.088, 76.648, 653.264
580.165000000, 787.472, 54.6856, 710.872, 76.6, 652.528
591.995000000, 787.744, 54.7044, 711.048, 76.696, 652.256
600.160000000, 787.944, 54.7183, 711.088, 76.856, 652.056
606.520000000, 788.848, 54.7811, 711.928, 76.92, 651.152
615.420000000, 789.176, 54.8039, 712.256, 76.92, 650.824
620.050000000, 789.328, 54.8144, 712.408, 76.92, 650.672
629.350000000, 789.512, 54.8272, 712.52, 76.992, 650.488
635.150000000, 789.512, 54.8272, 712.512, 77, 650.488
642.735000000, 789.608, 54.8339, 712.64, 76.968, 650.392
652.030000000, 791.032, 54.9328, 713.904, 77.128, 648.968
658.765000000, 791.032, 54.9328, 713.904, 77.128, 648.968
663.325000000, 791.032, 54.9328, 713.952, 77.08, 648.968
669.490000000, 792.216, 55.015, 715.088, 77.128, 647.784
674.655000000, 812.008, 56.3894, 733.392, 78.616, 627.992
682.215000000, 856.096, 59.4511, 772.92, 83.176, 583.904
689.855000000, 858.136, 59.5928, 774.88, 83.256, 581.864
698.845000000, 861.456, 59.8233, 777.696, 83.76, 578.544
704.085000000, 862.112, 59.8689, 778.296, 83.816, 577.888
709.590000000, 862.112, 59.8689, 778.256, 83.856, 577.888
718.890000000, 862.112, 59.8689, 778.336, 83.776, 577.888
723.385000000, 862.112, 59.8689, 778.384, 83.728, 577.888
729.345000000, 862.112, 59.8689, 778.272, 83.84, 577.888
736.710000000, 862.112, 59.8689, 778.336, 83.776, 577.888
745.610000000, 862.128, 59.87, 778.288, 83.84, 577.872
754.575000000, 862.128, 59.87, 778.216, 83.912, 577.872
762.005000000, 862.128, 59.87, 778.232, 83.896, 577.872
770.770000000, 862.128, 59.87, 778.2, 83.928, 577.872
777.065000000, 862.128, 59.87, 778.312, 83.816, 577.872
786.430000000, 862.128, 59.87, 778.216, 83.912, 577.872
792.930000000, 862.184, 59.8739, 778.288, 83.896, 577.816
798.235000000, 862.528, 59.8978, 778.656, 83.872, 577.472
806.465000000, 862.8, 59.9167, 778.864, 83.936, 577.2
810.890000000, 862.8, 59.9167, 778.936, 83.864, 577.2
828.590000000, 875.952, 60.83, 791.928, 84.024, 564.048
844.480000000, 882.048, 61.2533, 798.496, 83.552, 557.952
853.240000000, 882.312, 61.2717, 798.608, 83.704, 557.688
860.200000000, 883.064, 61.3239, 799.376, 83.688, 556.936
865.430000000, 883.08, 61.325, 799.408, 83.672, 556.92
872.390000000, 883.088, 61.3256, 799.24, 83.848, 556.912
879.490000000, 883.088, 61.3256, 799.256, 83.832, 556.912
884.915000000, 883.088, 61.3256, 799.208, 83.88, 556.912
892.685000000, 883.088, 61.3256, 799.064, 84.024, 556.912
917.845000000, 886.472, 61.5606, 802.512, 83.96, 553.528
923.015000000, 886.472, 61.5606, 802.52, 83.952, 553.528
928.315000000, 886.608, 61.57, 802.408, 84.2, 553.392
934.280000000, 891.92, 61.9389, 807.248, 84.672, 548.08
937.905000000, 892.424, 61.9739, 807.92, 84.504, 547.576
942.620000000, 892.816, 62.0011, 808.368, 84.448, 547.184
950.980000000, 893.008, 62.0144, 808.496, 84.512, 546.992
959.415000000, 898.032, 62.3633, 813.68, 84.352, 541.968
966.980000000, 898.216, 62.3761, 813.904, 84.312, 541.784
971.545000000, 898.264, 62.3794, 813.904, 84.36, 541.736
980.775000000, 898.624, 62.4044, 814.248, 84.376, 541.376
986.680000000, 899.376, 62.4567, 814.904, 84.472, 540.624
993.980000000, 903.672, 62.755, 819.008, 84.664, 536.328
998.880000000, 904.56, 62.8167, 819.8, 84.76, 535.44
1005.845000000, 920.12, 63.8972, 833.928, 86.192, 519.88
1012.470000000, 940.328, 65.3006, 849.208, 91.12, 499.672
1017.030000000, 944.352, 65.58, 851.768, 92.584, 495.648
1023.195000000, 946.56, 65.7333, 853.768, 92.792, 493.44
1030.645000000, 964.616, 66.9872, 871.056, 93.56, 475.384
1035.215000000, 971.48, 67.4639, 876.976, 94.504, 468.52
1044.915000000, 974.984, 67.7072, 880.016, 94.968, 465.016
1057.015000000, 975.28, 67.7278, 880.312, 94.968, 464.72
1070.845000000, 975.28, 67.7278, 880.296, 94.984, 464.72
1080.145000000, 975.28, 67.7278, 880.344, 94.936, 464.72
1084.510000000, 975.28, 67.7278, 880.376, 94.904, 464.72
1097.940000000, 975.28, 67.7278, 880.384, 94.896, 464.72
1121.035000000, 976.592, 67.8189, 881.72, 94.872, 463.408
1128.465000000, 976.608, 67.82, 881.704, 94.904, 463.392
1141.390000000, 976.68, 67.825, 881.752, 94.928, 463.32
1150.215000000, 976.688, 67.8256, 881.64, 95.048, 463.312
1159.310000000, 976.768, 67.8311, 881.736, 95.032, 463.232
1166.895000000, 976.856, 67.8372, 881.696, 95.16, 463.144
1173.995000000, 977.136, 67.8567, 882.064, 95.072, 462.864
1179.755000000, 977.136, 67.8567, 882.024, 95.112, 462.864
1186.720000000, 978.24, 67.9333, 883.144, 95.096, 461.76
1192.480000000, 978.248, 67.9339, 883.176, 95.072, 461.752
