Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
1.010000000, 42.152, 4.87306, 29.864, 12.288, 822.848
6.764000000, 44.736, 5.17179, 30.648, 14.088, 820.264
11.111000000, 60.84, 7.03353, 43.568, 17.272, 804.16
15.191000000, 66.488, 7.68647, 46.64, 19.848, 798.512
19.740000000, 72.536, 8.38566, 51.008, 21.528, 792.464
24.488000000, 77.44, 8.9526, 52.472, 24.968, 787.56
31.369000000, 81.216, 9.38913, 54.088, 27.128, 783.784
36.583000000, 81.216, 9.38913, 54.024, 27.192, 783.784
40.930000000, 81.464, 9.4178, 55.704, 25.76, 783.536
46.342000000, 83.608, 9.66566, 54.76, 28.848, 781.392
51.756000000, 83.728, 9.67954, 54.464, 29.264, 781.272
57.371000000, 83.728, 9.67954, 54.416, 29.312, 781.272
63.256000000, 85.256, 9.85618, 54.936, 30.32, 779.744
67.200000000, 85.896, 9.93017, 54.816, 31.08, 779.104
72.818000000, 94.784, 10.9577, 61.152, 33.632, 770.216
79.499000000, 98.184, 11.3508, 63.808, 34.376, 766.816
85.184000000, 98.96, 11.4405, 63.92, 35.04, 766.04
89.665000000, 100.504, 11.619, 65.168, 35.336, 764.496
96.209000000, 102.92, 11.8983, 66.832, 36.088, 762.08
101.488000000, 105.528, 12.1998, 69.272, 36.256, 759.472
105.566000000, 107.848, 12.468, 70.52, 37.328, 757.152
108.942000000, 139.776, 16.1591, 100.064, 39.712, 725.224
114.355000000, 144.912, 16.7528, 103.136, 41.776, 720.088
117.865000000, 144.952, 16.7575, 103.712, 41.24, 720.048
123.477000000, 172.912, 19.9898, 125.896, 47.016, 692.088
129.488000000, 174.952, 20.2257, 126.648, 48.304, 690.048
145.569000000, 175.336, 20.2701, 124.968, 50.368, 689.664
150.782000000, 185.296, 21.4215, 132.008, 53.288, 679.704
157.192000000, 191.888, 22.1836, 137.744, 54.144, 673.112
176.205000000, 205.304, 23.7346, 149.688, 55.616, 659.696
179.318000000, 210.392, 24.3228, 153.44, 56.952, 654.608
