Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
1.007000000, 146.36, 18.295, 131.072, 15.288, 653.64
6.086000000, 148.472, 18.559, 132.88, 15.592, 651.528
10.235000000, 150.528, 18.816, 134.704, 15.824, 649.472
15.915000000, 156.064, 19.508, 139.224, 16.84, 643.936
19.595000000, 172.928, 21.616, 154.64, 18.288, 627.072
25.209000000, 214.072, 26.759, 192.056, 22.016, 585.928
28.820000000, 226.616, 28.327, 203.04, 23.576, 573.384
35.371000000, 250.288, 31.286, 224.048, 26.24, 549.712
39.714000000, 250.504, 31.313, 224.296, 26.208, 549.496
44.130000000, 252.432, 31.554, 226.016, 26.416, 547.568
51.146000000, 254.512, 31.814, 227.576, 26.936, 545.488
57.109000000, 263.984, 32.998, 235.336, 28.648, 536.016
62.054000000, 275.552, 34.444, 245.464, 30.088, 524.448
65.600000000, 275.92, 34.49, 245.8, 30.12, 524.08
71.742000000, 306.944, 38.368, 273.84, 33.104, 493.056
76.154000000, 314.512, 39.314, 280.192, 34.32, 485.488
79.765000000, 324.272, 40.534, 288.944, 35.328, 475.728
86.244000000, 336.104, 42.013, 299.32, 36.784, 463.896
89.985000000, 336.304, 42.038, 299.464, 36.84, 463.696
94.665000000, 343.952, 42.994, 306.176, 37.776, 456.048
99.943000000, 369.336, 46.167, 328.808, 40.528, 430.664
103.953000000, 373.04, 46.63, 332.176, 40.864, 426.96
108.033000000, 373.928, 46.741, 333.072, 40.856, 426.072
114.471000000, 400.6, 50.075, 357.064, 43.536, 399.4
118.084000000, 409.888, 51.236, 365.536, 44.352, 390.112
121.694000000, 422.232, 52.779, 376.608, 45.624, 377.768
125.248000000, 431.104, 53.888, 384.56, 46.544, 368.896
130.460000000, 436.704, 54.588, 389.568, 47.136, 363.296
134.939000000, 438.152, 54.769, 390.816, 47.336, 361.848
140.283000000, 447.384, 55.923, 399.12, 48.264, 352.616
146.228000000, 449.288, 56.161, 400.672, 48.616, 350.712
150.840000000, 451.296, 56.412, 402.752, 48.544, 348.704
154.720000000, 454.384, 56.798, 405.888, 48.496, 345.616
159.532000000, 454.944, 56.868, 406.496, 48.448, 345.056
163.083000000, 454.944, 56.868, 406.472, 48.472, 345.056
167.827000000, 455.112, 56.889, 406.704, 48.408, 344.888
173.972000000, 456.968, 57.121, 408.496, 48.472, 343.032
179.982000000, 460.016, 57.502, 411.384, 48.632, 339.984
185.727000000, 463.744, 57.968, 415.168, 48.576, 336.256
191.005000000, 464.216, 58.027, 415.656, 48.56, 335.784
197.885000000, 464.848, 58.106, 416.032, 48.816, 335.152
203.097000000, 465.96, 58.245, 417.104, 48.856, 334.04
206.712000000, 466.016, 58.252, 417.144, 48.872, 333.984
211.671000000, 466.032, 58.254, 417.176, 48.856, 333.968
216.814000000, 465.776, 58.222, 416.96, 48.816, 334.224
220.492000000, 465.776, 58.222, 417.056, 48.72, 334.224
225.502000000, 465.776, 58.222, 417.032, 48.744, 334.224
232.450000000, 465.832, 58.229, 417.112, 48.72, 334.168
237.067000000, 467.72, 58.465, 419.016, 48.704, 332.28
241.086000000, 468.672, 58.584, 419.856, 48.816, 331.328
245.637000000, 468.672, 58.584, 419.848, 48.824, 331.328
252.382000000, 469.672, 58.709, 420.824, 48.848, 330.328
256.876000000, 470.472, 58.809, 421.472, 49, 329.528
262.096000000, 474.184, 59.273, 425.056, 49.128, 325.816
265.776000000, 475.664, 59.458, 425.96, 49.704, 324.336
272.253000000, 477.304, 59.663, 427.872, 49.432, 322.696
279.068000000, 476.936, 59.617, 427.4, 49.536, 323.064
283.080000000, 476.984, 59.623, 427.328, 49.656, 323.016
288.357000000, 483.624, 60.453, 431.72, 51.904, 316.376
294.701000000, 488.376, 61.047, 433.72, 54.656, 311.624
300.381000000, 498.264, 62.283, 442.328, 55.936, 301.736
303.926000000, 504.968, 63.121, 447.768, 57.2, 295.032
309.606000000, 507.416, 63.427, 449.872, 57.544, 292.584
313.550000000, 507.416, 63.427, 449.856, 57.56, 292.584
317.494000000, 507.416, 63.427, 449.88, 57.536, 292.584
323.973000000, 525.624, 65.703, 462.832, 62.792, 274.376
327.850000000, 532.216, 66.527, 467.904, 64.312, 267.784
332.470000000, 533.096, 66.637, 467.96, 65.136, 266.904
338.746000000, 547.648, 68.456, 478.984, 68.664, 252.352
342.501000000, 554.08, 69.26, 485.048, 69.032, 245.92
348.580000000, 556.76, 69.595, 485.424, 71.336, 243.24
355.058000000, 556.904, 69.613, 485.256, 71.648, 243.096
359.540000000, 559.4, 69.925, 487.512, 71.888, 240.6
364.817000000, 559.488, 69.936, 487.632, 71.856, 240.512
370.893000000, 559.616, 69.952, 487.776, 71.84, 240.384
376.771000000, 559.872, 69.984, 488.024, 71.848, 240.128
381.648000000, 559.888, 69.986, 488.032, 71.856, 240.112
387.737000000, 559.928, 69.991, 488.104, 71.824, 240.072
391.935000000, 560.08, 70.01, 488.152, 71.928, 239.92
396.352000000, 560.352, 70.044, 488.456, 71.896, 239.648
401.434000000, 575.24, 71.905, 502.032, 73.208, 224.76
405.418000000, 585.744, 73.218, 511.432, 74.312, 214.256
409.967000000, 596.544, 74.568, 520.104, 76.44, 203.456
416.113000000, 610.944, 76.368, 532.32, 78.624, 189.056
422.190000000, 624.024, 78.003, 543.264, 80.76, 175.976
426.805000000, 626.16, 78.27, 544.344, 81.816, 173.84
433.483000000, 627.704, 78.463, 545.904, 81.8, 172.296
437.325000000, 629.928, 78.741, 546.624, 83.304, 170.072
443.470000000, 637.984, 79.748, 550.624, 87.36, 162.016
448.218000000, 637.8, 79.725, 550.448, 87.352, 162.2
454.432000000, 637.84, 79.73, 550.504, 87.336, 162.16
458.111000000, 637.84, 79.73, 550.52, 87.32, 162.16
464.387000000, 637.856, 79.732, 550.512, 87.344, 162.144
469.136000000, 637.856, 79.732, 550.456, 87.4, 162.144
474.615000000, 637.856, 79.732, 550.456, 87.4, 162.144
478.692000000, 642.6, 80.325, 554, 88.6, 157.4
483.241000000, 649.872, 81.234, 560.112, 89.76, 150.128
