Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
1.010000000, 166.256, 15.1142, 149.88, 16.376, 933.744
8.159000000, 177.08, 16.0982, 159.768, 17.312, 922.92
14.703000000, 249.664, 22.6967, 226.768, 22.896, 850.336
20.782000000, 272.112, 24.7375, 247.872, 24.24, 827.888
33.662000000, 308.632, 28.0575, 281.864, 26.768, 791.368
40.514000000, 365.696, 33.2451, 330.552, 35.144, 734.304
50.527000000, 391.336, 35.576, 352.528, 38.808, 708.664
54.606000000, 414.696, 37.6996, 375.344, 39.352, 685.304
58.686000000, 438.4, 39.8545, 396.544, 41.856, 661.6
65.101000000, 520.456, 47.3142, 473.872, 46.584, 579.544
71.717000000, 565.776, 51.4342, 515.248, 50.528, 534.224
76.598000000, 570.008, 51.8189, 517.256, 52.752, 529.992
81.475000000, 574.752, 52.2502, 521.408, 53.344, 525.248
87.485000000, 660.696, 60.0633, 605.136, 55.56, 439.304
91.496000000, 703.84, 63.9855, 643.304, 60.536, 396.16
97.176000000, 737.84, 67.0764, 675.288, 62.552, 362.16
103.125000000, 761.096, 69.1905, 696.184, 64.912, 338.904
109.166000000, 766.776, 69.7069, 698.272, 68.504, 333.224
114.247000000, 779.976, 70.9069, 709.656, 70.32, 320.024
120.729000000, 787.032, 71.5484, 715.296, 71.736, 312.968
127.209000000, 816.544, 74.2313, 739.696, 76.848, 283.456
134.223000000, 833.936, 75.8124, 755.56, 78.376, 266.064
139.506000000, 836.784, 76.0713, 758.104, 78.68, 263.216
144.750000000, 838.848, 76.2589, 759.976, 78.872, 261.152
150.696000000, 855.576, 77.7796, 771.28, 84.296, 244.424
155.174000000, 862.208, 78.3825, 775.528, 86.68, 237.792
160.727000000, 868.216, 78.9287, 778.768, 89.448, 231.784
167.608000000, 870.432, 79.1302, 780.496, 89.936, 229.568
179.317000000, 870.672, 79.152, 782.048, 88.624, 229.328
184.864000000, 880.832, 80.0756, 790.36, 90.472, 219.168
191.622000000, 881.512, 80.1375, 790.408, 91.104, 218.488
196.501000000, 881.536, 80.1396, 789.488, 92.048, 218.464
201.051000000, 881.56, 80.1418, 788.944, 92.616, 218.44
206.693000000, 881.64, 80.1491, 789.488, 92.152, 218.36
213.237000000, 881.544, 80.1404, 789.936, 91.608, 218.456
216.849000000, 882.2, 80.2, 789.992, 92.208, 217.8
220.795000000, 887.784, 80.7076, 794.992, 92.792, 212.216
226.807000000, 888.544, 80.7767, 795.488, 93.056, 211.456
232.356000000, 891.936, 81.0851, 798.768, 93.168, 208.064
238.905000000, 893.472, 81.2247, 799.808, 93.664, 206.528
244.850000000, 904.728, 82.248, 810.016, 94.712, 195.272
248.928000000, 913.32, 83.0291, 818, 95.32, 186.68
253.774000000, 914.6, 83.1455, 819.248, 95.352, 185.4
258.053000000, 914.864, 83.1695, 819.416, 95.448, 185.136
263.675000000, 914.976, 83.1796, 819.712, 95.264, 185.024
270.478000000, 928.912, 84.4465, 829.768, 99.144, 171.088
276.555000000, 929.024, 84.4567, 829.776, 99.248, 170.976
281.570000000, 929.272, 84.4793, 830.032, 99.24, 170.728
287.184000000, 933.64, 84.8764, 833.576, 100.064, 166.36
293.930000000, 959.032, 87.1847, 851.304, 107.728, 140.968
297.767000000, 960.304, 87.3004, 852.344, 107.96, 139.696
301.782000000, 961.952, 87.4502, 854.104, 107.848, 138.048
305.795000000, 962.168, 87.4698, 854.096, 108.072, 137.832
311.776000000, 962.736, 87.5215, 854.064, 108.672, 137.264
316.193000000, 963.808, 87.6189, 855.168, 108.64, 136.192
320.946000000, 965.416, 87.7651, 856.072, 109.344, 134.584
325.806000000, 967.208, 87.928, 857.528, 109.68, 132.792
331.625000000, 972.136, 88.376, 862.24, 109.896, 127.864
337.911000000, 974.12, 88.5564, 863.832, 110.288, 125.88
341.857000000, 974.416, 88.5833, 864.136, 110.28, 125.584
345.534000000, 974.448, 88.5862, 864.304, 110.144, 125.552
350.950000000, 974.528, 88.5935, 863.152, 111.376, 125.472
356.564000000, 975.496, 88.6815, 863.512, 111.984, 124.504
362.824000000, 975.44, 88.6764, 862.592, 112.848, 124.56
369.037000000, 976.4, 88.7636, 863.2, 113.2, 123.6
375.516000000, 976.896, 88.8087, 863.064, 113.832, 123.104
380.660000000, 976.768, 88.7971, 862.984, 113.784, 123.232
387.543000000, 977.808, 88.8916, 863.512, 114.296, 122.192
394.041000000, 978.208, 88.928, 863.992, 114.216, 121.792
399.497000000, 978.512, 88.9556, 863.24, 115.272, 121.488
403.918000000, 979.008, 89.0007, 863.504, 115.504, 120.992
407.930000000, 978.944, 88.9949, 864.04, 114.904, 121.056
412.809000000, 978.52, 88.9564, 862.712, 115.808, 121.48
419.626000000, 980.912, 89.1738, 863.696, 117.216, 119.088
425.903000000, 980.472, 89.1338, 863.896, 116.576, 119.528
432.247000000, 989.768, 89.9789, 870.408, 119.36, 110.232
435.726000000, 989.736, 89.976, 870.376, 119.36, 110.264
441.138000000, 989.84, 89.9855, 870.296, 119.544, 110.16
447.484000000, 990.536, 90.0487, 870.96, 119.576, 109.464
