Goal x, Goal y, Goal z, Planner
34.5724, 2.6961, 3.87442, aep
34.6741, 3.59819, 4.29381, aep
34.4569, 4.40908, 3.75042, aep
34.4024, 4.58903, 2.76826, aep
33.8577, 4.93192, 2.0029, aep
33.1085, 5.45452, 2.40984, aep
31.6344, 5.51287, 2.43765, aep
31.1735, 4.77695, 2.93359, aep
30.955, 3.9402, 2.43149, aep
29.9952, 4.21996, 2.40956, aep
29.4845, 3.64637, 1.76913, aep
28.6207, 3.21112, 2.02308, aep
27.7202, 2.79464, 2.14789, aep
27.4961, 1.99379, 1.59254, aep
26.9818, 1.16984, 1.83041, aep
27.613, 0.594281, 2.35032, aep
28.279, 0.452315, 3.08262, aep
29.1427, -0.0363546, 2.95953, aep
29.8151, -0.0671123, 3.69917, aep
30.4705, 0.676955, 3.56992, aep
31.4142, 0.80829, 3.26608, aep
32.1073, 0.259606, 3.7335, aep
32.8736, 0.183001, 3.09552, aep
33.0994, -0.315558, 2.2586, aep
33.5042, -1.1845, 1.97385, aep
33.373, -2.14317, 2.22632, aep
33.9571, -2.45173, 2.97706, aep
33.8676, -2.84328, 3.89285, aep
34.2095, -2.89587, 4.8311, aep
35.1226, -2.50665, 4.70909, aep
35.8718, -2.83041, 4.13137, aep
36.7807, -2.66324, 3.74928, aep
36.9443, -2.85467, 2.7815, aep
36.9164, -3.8376, 2.59967, aep
37.4237, -5.1969, 2.77364, aep
37.4451, -6.19658, 2.78697, aep
36.7444, -6.79565, 3.17438, aep
36.1846, -6.93594, 3.99105, aep
35.4801, -7.6364, 4.10542, aep
34.1715, -7.26088, 3.91434, aep
33.3399, -7.81609, 3.89942, aep
32.6161, -7.12618, 3.91429, aep
32.9118, -6.17462, 3.82972, aep
32.4653, -5.87956, 2.98493, aep
31.5863, -6.17839, 2.61348, aep
30.2251, -5.90363, 2.18197, aep
28.991, -5.27023, 2.32918, aep
28.8568, -4.61313, 2.94515, aep
29.2116, -3.79218, 3.39253, aep
28.3578, -3.49074, 3.81685, aep
27.4871, -3.0061, 3.73295, aep
26.8163, -2.95433, 2.99311, aep
25.9796, -3.29496, 2.56428, aep
26.0183, -4.2593, 2.30247, aep
25.4495, -5.02334, 2.60689, aep
25.3805, -6.01935, 2.55032, aep
25.5103, -6.82537, 1.97285, aep
24.7923, -6.93987, 1.28626, aep
23.8846, -6.98585, 1.70332, aep
23.2656, -7.08822, 2.48199, aep
22.658, -7.8289, 2.19514, aep
22.3093, -8.76446, 2.13924, aep
22.6286, -9.63756, 1.77074, aep
22.6876, -10.6257, 1.62878, aep
23.2668, -11.2359, 2.16923, aep
23.442, -11.3322, 3.14905, aep
23.1072, -11.0282, 2.25713, aep
22.1727, -11.1578, 1.92557, aep
21.5629, -11.613, 2.57443, aep
21.5508, -12.6127, 2.59591, aep
20.6588, -12.7932, 3.01038, aep
20.1112, -13.1577, 2.25717, aep
20.333, -14.096, 1.99209, aep
20.9182, -14.8261, 1.63917, aep
20.6149, -15.6658, 2.0896, aep
20.7784, -16.6421, 2.23174, aep
20.3139, -17.2571, 3.41956, aep
19.3417, -17.1616, 3.20554, aep
19.0052, -18.0938, 3.07222, aep
18.4739, -18.2593, 2.24136, aep
18.2038, -17.8953, 1.34998, aep
17.5163, -17.1692, 1.33952, aep
16.3912, -16.7024, 1.97121, aep
16.7047, -15.7678, 1.80323, aep
16.7855, -15.13, 2.56925, aep
16.3618, -14.2375, 2.41507, aep
16.3575, -13.6398, 1.61337, aep
15.6397, -12.524, 1.31342, aep
16.0309, -11.7017, 1.72665, aep
16.4327, -10.5929, 2.59684, aep
16.9857, -11.319, 3.00557, aep
16.7877, -12.2793, 2.80922, aep
16.3491, -13.0948, 2.43161, aep
15.6683, -13.5712, 3.57027, aep
16.0902, -12.9343, 2.92507, aep
15.6342, -12.6401, 2.08512, aep
14.8059, -12.4195, 1.56998, aep
14.2416, -13.0005, 0.983476, aep
