Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 18271
7.320000000, 173.256, 0.948257, 152.464, 20.792, 18097.7
12.280000000, 184.896, 1.01196, 163.512, 21.384, 18086.1
17.520000000, 198.56, 1.08675, 175.408, 23.152, 18072.4
26.950000000, 210.816, 1.15383, 182.728, 28.088, 18060.2
34.360000000, 231.72, 1.26824, 200.08, 31.64, 18039.3
39.720000000, 252.528, 1.38212, 220.2, 32.328, 18018.5
44.090000000, 274.28, 1.50118, 241.68, 32.6, 17996.7
48.610000000, 290.264, 1.58866, 256.048, 34.216, 17980.7
53.900000000, 304.488, 1.66651, 268.304, 36.184, 17966.5
58.430000000, 313.752, 1.71721, 276.768, 36.984, 17957.2
62.730000000, 321.512, 1.75968, 283.392, 38.12, 17949.5
67.250000000, 325.68, 1.7825, 286.968, 38.712, 17945.3
71.700000000, 330.24, 1.80745, 291.512, 38.728, 17940.8
76.160000000, 337.896, 1.84936, 299.184, 38.712, 17933.1
80.450000000, 353.728, 1.93601, 314.824, 38.904, 17917.3
86.120000000, 395.488, 2.16457, 353.84, 41.648, 17875.5
91.670000000, 407.72, 2.23151, 365.12, 42.6, 17863.3
97.000000000, 440.464, 2.41073, 395.52, 44.944, 17830.5
102.440000000, 462.8, 2.53298, 416.696, 46.104, 17808.2
107.040000000, 483.752, 2.64765, 436.92, 46.832, 17787.2
111.850000000, 509.728, 2.78982, 461.776, 47.952, 17761.3
117.040000000, 528.488, 2.8925, 478.52, 49.968, 17742.5
122.050000000, 548.368, 3.0013, 497.912, 50.456, 17722.6
126.810000000, 560.696, 3.06878, 508.336, 52.36, 17710.3
131.500000000, 566.736, 3.10183, 513.272, 53.464, 17704.3
136.200000000, 573.768, 3.14032, 519.776, 53.992, 17697.2
140.980000000, 576.76, 3.1567, 522.352, 54.408, 17694.2
145.780000000, 580.616, 3.1778, 525.52, 55.096, 17690.4
150.420000000, 588.632, 3.22167, 533.784, 54.848, 17682.4
155.530000000, 592.368, 3.24212, 537.016, 55.352, 17678.6
161.500000000, 594.52, 3.2539, 537.256, 57.264, 17676.5
166.510000000, 596.184, 3.26301, 539.28, 56.904, 17674.8
171.220000000, 597.408, 3.26971, 541.176, 56.232, 17673.6
176.730000000, 600.344, 3.28578, 543.944, 56.4, 17670.7
181.740000000, 603.472, 3.3029, 546.352, 57.12, 17667.5
187.800000000, 603.864, 3.30504, 546.256, 57.608, 17667.1
192.730000000, 604.008, 3.30583, 546.504, 57.504, 17667
200.050000000, 628.056, 3.43745, 565.736, 62.32, 17642.9
206.790000000, 656.768, 3.59459, 590.368, 66.4, 17614.2
214.600000000, 662.608, 3.62656, 595.296, 67.312, 17608.4
220.990000000, 680.96, 3.727, 611.928, 69.032, 17590
227.290000000, 687.616, 3.76343, 617.72, 69.896, 17583.4
231.690000000, 687.656, 3.76365, 618.008, 69.648, 17583.3
239.530000000, 712.44, 3.89929, 640.648, 71.792, 17558.6
244.680000000, 731.664, 4.00451, 658.64, 73.024, 17539.3
248.990000000, 743.136, 4.0673, 669.648, 73.488, 17527.9
253.830000000, 769.24, 4.21017, 693.384, 75.856, 17501.8
259.330000000, 779.248, 4.26494, 702.696, 76.552, 17491.8
264.490000000, 794.864, 4.35041, 717.624, 77.24, 17476.1
269.580000000, 816.928, 4.47117, 739.464, 77.464, 17454.1
274.510000000, 837.696, 4.58484, 759.352, 78.344, 17433.3
278.740000000, 855.84, 4.68414, 775.752, 80.088, 17415.2
284.420000000, 888.184, 4.86117, 804.144, 84.04, 17382.8
289.380000000, 908.544, 4.9726, 822.376, 86.168, 17362.5
294.270000000, 932.536, 5.10391, 844.848, 87.688, 17338.5
299.970000000, 953.456, 5.21841, 863.832, 89.624, 17317.5
305.990000000, 980.688, 5.36746, 889.568, 91.12, 17290.3
310.690000000, 991.48, 5.42652, 899.936, 91.544, 17279.5
315.240000000, 1007.87, 5.51624, 915.52, 92.352, 17263.1
319.720000000, 1024.55, 5.60753, 930.336, 94.216, 17246.4
325.320000000, 1028.08, 5.62684, 932.216, 95.864, 17242.9
333.620000000, 1059.72, 5.80001, 958.128, 101.592, 17211.3
338.970000000, 1076.22, 5.89034, 971.472, 104.752, 17194.8
