Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 18271
7.710000000, 172.256, 0.942784, 150.464, 21.792, 18098.7
13.570000000, 181.344, 0.992524, 158.64, 22.704, 18089.7
20.740000000, 222.768, 1.21924, 197.208, 25.56, 18048.2
26.870000000, 243.104, 1.33055, 215.608, 27.496, 18027.9
33.270000000, 248.696, 1.36115, 219.568, 29.128, 18022.3
39.740000000, 261.12, 1.42915, 230.072, 31.048, 18009.9
44.840000000, 272.28, 1.49023, 240.504, 31.776, 17998.7
49.660000000, 286.056, 1.56563, 252.952, 33.104, 17984.9
54.380000000, 289.2, 1.58284, 255.856, 33.344, 17981.8
61.240000000, 319.192, 1.74699, 283.2, 35.992, 17951.8
67.520000000, 341.88, 1.87116, 304.952, 36.928, 17929.1
72.990000000, 369.16, 2.02047, 330.92, 38.24, 17901.8
78.330000000, 387.216, 2.11929, 348.664, 38.552, 17883.8
84.650000000, 432.264, 2.36585, 390.184, 42.08, 17838.7
92.710000000, 462.168, 2.52952, 419.64, 42.528, 17808.8
99.260000000, 486.28, 2.66149, 443.592, 42.688, 17784.7
107.080000000, 528.76, 2.89399, 485.728, 43.032, 17742.2
112.610000000, 554.656, 3.03572, 510.44, 44.216, 17716.3
118.050000000, 584.032, 3.1965, 538.864, 45.168, 17687
124.090000000, 611.2, 3.34519, 562.432, 48.768, 17659.8
131.160000000, 623.68, 3.4135, 571.592, 52.088, 17647.3
136.420000000, 631.432, 3.45592, 578.68, 52.752, 17639.6
142.080000000, 645.392, 3.53233, 592.616, 52.776, 17625.6
147.420000000, 658.368, 3.60335, 603.824, 54.544, 17612.6
152.810000000, 665.864, 3.64438, 609.448, 56.416, 17605.1
159.080000000, 684.288, 3.74521, 626.832, 57.456, 17586.7
164.170000000, 703.12, 3.84828, 644.944, 58.176, 17567.9
169.100000000, 723.456, 3.95959, 662.696, 60.76, 17547.5
174.030000000, 746.16, 4.08385, 684.856, 61.304, 17524.8
181.670000000, 790.12, 4.32445, 725.416, 64.704, 17480.9
187.950000000, 817.384, 4.47367, 749.208, 68.176, 17453.6
193.720000000, 846.544, 4.63327, 775.576, 70.968, 17424.5
199.730000000, 854.416, 4.67635, 782.304, 72.112, 17416.6
214.410000000, 859.88, 4.70626, 787.48, 72.4, 17411.1
222.970000000, 883.024, 4.83293, 808.096, 74.928, 17388
233.720000000, 932.408, 5.10321, 852.288, 80.12, 17338.6
240.710000000, 960.808, 5.25865, 879.84, 80.968, 17310.2
246.550000000, 978.24, 5.35406, 895.88, 82.36, 17292.8
251.630000000, 996.88, 5.45608, 913.88, 83, 17274.1
259.020000000, 1018.47, 5.57425, 935.376, 83.096, 17252.5
265.090000000, 1039.78, 5.69085, 955.392, 84.384, 17231.2
271.320000000, 1079.09, 5.90601, 991.408, 87.68, 17191.9
276.520000000, 1110.43, 6.07757, 1021.3, 89.128, 17160.6
282.680000000, 1140.86, 6.24408, 1050.54, 90.32, 17130.1
287.940000000, 1162.34, 6.36164, 1071.56, 90.776, 17108.7
292.890000000, 1181.12, 6.46445, 1087.9, 93.216, 17089.9
298.310000000, 1206.54, 6.60356, 1111.08, 95.456, 17064.5
304.350000000, 1223.46, 6.69621, 1127.22, 96.248, 17047.5
309.540000000, 1242.86, 6.80239, 1146.26, 96.608, 17028.1
314.740000000, 1264.69, 6.92183, 1168, 96.688, 17006.3
320.600000000, 1291.38, 7.0679, 1194.88, 96.496, 16979.6
326.270000000, 1317.93, 7.21322, 1221.61, 96.32, 16953.1
332.120000000, 1347.38, 7.3744, 1251.06, 96.312, 16923.6
337.010000000, 1374.97, 7.52541, 1278.3, 96.664, 16896
342.350000000, 1409.69, 7.71544, 1312.67, 97.016, 16861.3
348.120000000, 1447.97, 7.92495, 1350.8, 97.168, 16823
354.380000000, 1487.66, 8.14221, 1389.04, 98.624, 16783.3
362.630000000, 1522.55, 8.33316, 1423.5, 99.056, 16748.4
369.170000000, 1571.22, 8.59955, 1471.62, 99.6, 16699.8
374.140000000, 1607.03, 8.79553, 1507.53, 99.504, 16664
381.120000000, 1645.58, 9.00649, 1546.07, 99.504, 16625.4
387.560000000, 1690.1, 9.25016, 1590.59, 99.504, 16580.9
393.710000000, 1725.7, 9.44504, 1626.2, 99.504, 16545.3
400.310000000, 1750.74, 9.58205, 1651.23, 99.504, 16520.3
405.970000000, 1783.42, 9.76095, 1683.92, 99.504, 16487.6
411.360000000, 1815.78, 9.93807, 1716.28, 99.504, 16455.2
416.340000000, 1832.57, 10.0299, 1733.06, 99.504, 16438.4
422.000000000, 1845.78, 10.1022, 1743.69, 102.088, 16425.2
428.050000000, 1865.38, 10.2095, 1761.26, 104.128, 16405.6
434.360000000, 1872.84, 10.2503, 1765.7, 107.136, 16398.2
440.420000000, 1890.18, 10.3453, 1782.34, 107.848, 16380.8
445.730000000, 1914.32, 10.4774, 1806.29, 108.032, 16356.7
451.320000000, 1933.62, 10.583, 1825.58, 108.032, 16337.4
457.060000000, 1944.98, 10.6452, 1836.05, 108.936, 16326
462.730000000, 1957.16, 10.7118, 1847.8, 109.36, 16313.8
468.010000000, 1980.4, 10.839, 1870.73, 109.672, 16290.6
473.780000000, 1996.03, 10.9246, 1886.21, 109.824, 16275
479.390000000, 2004.7, 10.9721, 1894.4, 110.304, 16266.3
485.480000000, 2021.92, 11.0663, 1911.73, 110.192, 16249.1
490.460000000, 2041.09, 11.1712, 1930.9, 110.192, 16229.9
495.910000000, 2053.42, 11.2387, 1943.23, 110.192, 16217.6
501.480000000, 2058.66, 11.2674, 1948.47, 110.192, 16212.3
507.290000000, 2060.56, 11.2778, 1950.37, 110.192, 16210.4
513.200000000, 2065.05, 11.3023, 1954.86, 110.192, 16206
518.350000000, 2071.77, 11.3391, 1961.58, 110.192, 16199.2
523.680000000, 2078.72, 11.3772, 1968.53, 110.192, 16192.3
528.850000000, 2098.17, 11.4836, 1987.98, 110.192, 16172.8
534.100000000, 2114.19, 11.5713, 2004, 110.192, 16156.8
540.760000000, 2118.19, 11.5932, 2008, 110.192, 16152.8
546.440000000, 2126.16, 11.6368, 2015.97, 110.192, 16144.8
551.790000000, 2142.79, 11.7278, 2032.6, 110.192, 16128.2
557.280000000, 2177.27, 11.9165, 2067.08, 110.192, 16093.7
562.220000000, 2192.54, 12.0001, 2082.35, 110.192, 16078.5
568.370000000, 2200.65, 12.0445, 2090.46, 110.192, 16070.4
574.730000000, 2228.3, 12.1958, 2117.89, 110.408, 16042.7
579.940000000, 2238.11, 12.2495, 2127.7, 110.408, 16032.9
585.670000000, 2250.95, 12.3198, 2139.8, 111.152, 16020
591.580000000, 2258.63, 12.3618, 2147.58, 111.056, 16012.4
596.750000000, 2271.56, 12.4326, 2160.19, 111.368, 15999.4
602.190000000, 2286.15, 12.5125, 2174.58, 111.576, 15984.8
609.220000000, 2307.57, 12.6297, 2195.96, 111.608, 15963.4
614.890000000, 2310.08, 12.6434, 2198.47, 111.608, 15960.9
621.590000000, 2350.31, 12.8636, 2237.8, 112.512, 15920.7
627.720000000, 2363.74, 12.9371, 2251.14, 112.6, 15907.3
635.150000000, 2399.19, 13.1311, 2282.53, 116.664, 15871.8
641.310000000, 2407.74, 13.178, 2290.64, 117.104, 15863.3
646.480000000, 2417.62, 13.232, 2300.52, 117.104, 15853.4
651.810000000, 2426.34, 13.2797, 2309.23, 117.104, 15844.7
658.220000000, 2441.22, 13.3612, 2324.03, 117.184, 15829.8
663.560000000, 2457.92, 13.4526, 2340.74, 117.184, 15813.1
670.330000000, 2477.55, 13.56, 2360.37, 117.184, 15793.4
676.060000000, 2487.55, 13.6148, 2369.95, 117.6, 15783.4
681.100000000, 2490.58, 13.6313, 2370.99, 119.584, 15780.4
686.490000000, 2491.86, 13.6384, 2372.44, 119.424, 15779.1
693.480000000, 2525.01, 13.8198, 2401.31, 123.696, 15746
701.980000000, 2558.9, 14.0053, 2434.77, 124.136, 15712.1
709.160000000, 2580.4, 14.1229, 2456.39, 124.008, 15690.6
714.730000000, 2591.6, 14.1842, 2467.75, 123.848, 15679.4
720.530000000, 2613.06, 14.3017, 2489.29, 123.776, 15657.9
725.670000000, 2633.86, 14.4155, 2510.12, 123.736, 15637.1
731.410000000, 2658.54, 14.5506, 2533.84, 124.696, 15612.5
737.720000000, 2676.66, 14.6498, 2551.75, 124.912, 15594.3
744.360000000, 2709.07, 14.8272, 2580.43, 128.64, 15561.9
750.430000000, 2734.31, 14.9653, 2605.12, 129.192, 15536.7
755.990000000, 2749.6, 15.049, 2618.39, 131.208, 15521.4
762.050000000, 2767.64, 15.1477, 2636.06, 131.576, 15503.4
770.080000000, 2792.58, 15.2842, 2659.61, 132.968, 15478.4
776.190000000, 2796.73, 15.3069, 2663.47, 133.256, 15474.3
782.110000000, 2812.14, 15.3913, 2679.01, 133.136, 15458.9
787.760000000, 2817.4, 15.4201, 2684.26, 133.136, 15453.6
793.490000000, 2826.75, 15.4712, 2693.59, 133.16, 15444.2
798.930000000, 2834.02, 15.511, 2700.86, 133.16, 15437
804.930000000, 2845.49, 15.5738, 2712.33, 133.16, 15425.5
810.150000000, 2851.46, 15.6065, 2718.3, 133.16, 15419.5
816.020000000, 2858.71, 15.6462, 2725.55, 133.16, 15412.3
821.170000000, 2862.73, 15.6682, 2729.57, 133.16, 15408.3
826.040000000, 2874.33, 15.7316, 2741.17, 133.16, 15396.7
831.620000000, 2892.14, 15.8291, 2758.98, 133.16, 15378.9
836.660000000, 2911.56, 15.9354, 2778.4, 133.16, 15359.4
841.840000000, 2927.68, 16.0236, 2794.52, 133.16, 15343.3
847.180000000, 2942.07, 16.1024, 2808.74, 133.336, 15328.9
853.050000000, 2954.62, 16.1711, 2821.27, 133.352, 15316.4
858.130000000, 2968.5, 16.2471, 2835.15, 133.352, 15302.5
866.100000000, 2984.49, 16.3346, 2851.14, 133.352, 15286.5
871.340000000, 2996.96, 16.4028, 2863.61, 133.352, 15274
