Goal x, Goal y, Goal z, Planner
60.829, -15.5512, 4.94526, aep
61.1565, -14.9662, 4.20331, aep
61.913, -15.3689, 4.71857, aep
61.8514, -16.3622, 4.62131, aep
62.0199, -16.9217, 3.80979, aep
63.0064, -16.7965, 3.70384, aep
63.3986, -17.4912, 4.30687, aep
64.3468, -17.1736, 4.3009, aep
64.7822, -17.8843, 3.74832, aep
64.7588, -18.4485, 4.57362, aep
65.6398, -18.5753, 4.11792, aep
66.2907, -19.2467, 4.47222, aep
65.5668, -18.8014, 3.94525, aep
65.9072, -18.5696, 4.85652, aep
66.6615, -17.9555, 4.62442, aep
67.6572, -17.9918, 4.53825, aep
68.0276, -17.0672, 4.62686, aep
68.9224, -16.6357, 4.74168, aep
68.9961, -15.7001, 4.39623, aep
67.5365, -15.5639, 4.2743, aep
66.7963, -14.9041, 4.1443, aep
67.4227, -14.3291, 4.67068, aep
66.5196, -13.9018, 4.71511, aep
65.6895, -13.4365, 4.4079, aep
65.0696, -12.7069, 4.69671, aep
64.1121, -12.4187, 4.70567, aep
63.306, -12.5963, 4.14118, aep
62.4807, -12.0616, 4.32277, aep
61.9612, -11.5141, 4.97885, aep
61.7795, -11.5449, 3.99598, aep
61.1694, -11.3494, 4.76377, aep
60.3234, -10.9206, 4.44686, aep
59.7585, -10.5583, 3.70548, aep
58.977, -10.591, 4.32857, aep
58.169, -10.9897, 4.76236, aep
58.4773, -10.1592, 4.29846, aep
58.6389, -9.21409, 4.58243, aep
58.1037, -8.40008, 4.35666, aep
57.1793, -8.47238, 3.98222, aep
56.4673, -7.91833, 3.55093, aep
56.1102, -7.70874, 4.46117, aep
55.6693, -8.5055, 4.87447, aep
54.9882, -9.13128, 4.49434, aep
54.1734, -8.57758, 4.66608, aep
53.5483, -8.92634, 3.9678, aep
52.7361, -8.98635, 3.38753, aep
52.3852, -9.91673, 3.2812, aep
51.4149, -10.0806, 3.45898, aep
50.7824, -9.6325, 4.09072, aep
50.1918, -10.113, 3.44239, aep
49.5923, -9.74495, 4.15309, aep
49.0782, -9.05851, 3.63886, aep
49.8261, -8.83397, 4.2635, aep
50.276, -7.95177, 4.12443, aep
51.0314, -7.4748, 3.67521, aep
50.8931, -6.50535, 3.87786, aep
49.9603, -6.53508, 4.2369, aep
50.9288, -6.70523, 4.05543, aep
51.8008, -7.19482, 4.05733, aep
52.2484, -6.34159, 3.78966, aep
52.9912, -5.67958, 3.68943, aep
52.9494, -4.70122, 3.89207, aep
53.5586, -4.06231, 3.42232, aep
52.6428, -4.14291, 3.81563, aep
51.8868, -3.79593, 3.26048, aep
50.9901, -3.54516, 3.62519, aep
50.2082, -3.97616, 4.07554, aep
49.426, -3.88657, 3.45899, aep
48.5657, -3.38218, 3.38478, aep
47.6356, -3.01735, 3.4265, aep
47.4268, -4.366, 3.10639, aep
46.4791, -4.37875, 2.7876, aep
46.041, -5.27098, 2.67805, aep
45.0823, -5.2376, 2.96058, aep
44.506, -4.42095, 2.99034, aep
43.9441, -5.20885, 3.24246, aep
43.4323, -4.36259, 3.39041, aep
44.273, -4.52222, 3.90792, aep
44.6373, -5.45243, 3.95275, aep
44.0553, -6.00596, 4.54854, aep
43.7039, -6.89063, 4.85492, aep
43.2552, -7.19982, 4.01642, aep
43.6326, -8.11821, 4.13549, aep
43.3663, -8.17159, 3.17309, aep
42.6167, -8.72321, 2.80723, aep
41.8244, -9.3308, 2.86347, aep
40.9343, -9.67938, 3.15715, aep
40.0818, -10.0458, 3.52999, aep
40.3542, -10.6878, 4.2466, aep
41.3288, -10.5421, 4.41714, aep
41.3545, -10.1117, 3.51488, aep
40.7228, -10.1985, 4.28525, aep
41.135, -11.0802, 4.05548, aep
40.3508, -10.4676, 3.95668, aep
40.2782, -10.444, 2.9596, aep
39.2907, -10.557, 2.84985, aep
38.97, -11.4153, 3.25033, aep
38.703, -12.3456, 2.99852, aep
38.2974, -13.1872, 2.64211, aep
38.9438, -13.9248, 2.83745, aep
39.2686, -14.8705, 2.84085, aep
39.6088, -15.3941, 3.62195, aep
40.168, -16.2088, 3.7755, aep
40.7866, -16.9849, 3.65256, aep
41.5675, -17.3598, 3.15291, aep
41.9819, -16.4564, 3.04306, aep
42.896, -16.7149, 3.35534, aep
43.3478, -15.9391, 3.79576, aep
43.8446, -16.5478, 3.17714, aep
44.7155, -16.4955, 2.68854, aep
45.3031, -17.1602, 3.14986, aep
45.8865, -17.9661, 3.25124, aep
46.7136, -17.6757, 3.73236, aep
