Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 18271
14.449649, 209.96, 1.14914, 209.96, 0, 18061
20.475447, 212.008, 1.16035, 212.008, 0, 18059
58.830074, 344.192, 1.88382, 341.232, 2.96, 17926.8
98.742265, 444.096, 2.43061, 438.304, 5.792, 17826.9
106.502260, 472.888, 2.58819, 467.096, 5.792, 17798.1
123.207962, 520.576, 2.84919, 514.784, 5.792, 17750.4
145.697617, 586.592, 3.21051, 580.8, 5.792, 17684.4
176.777806, 630.256, 3.44949, 623.808, 6.448, 17640.7
195.229868, 644.048, 3.52497, 637.6, 6.448, 17627
233.022445, 677.192, 3.70638, 669.824, 7.368, 17593.8
279.957085, 695.072, 3.80424, 688.256, 6.816, 17575.9
289.719506, 697.744, 3.81886, 690.952, 6.792, 17573.3
309.647007, 699.84, 3.83033, 692.976, 6.864, 17571.2
360.221982, 816.376, 4.46815, 808.552, 7.824, 17454.6
393.368061, 974.76, 5.33501, 966.072, 8.688, 17296.2
429.923783, 1147.07, 6.2781, 1137.6, 9.472, 17123.9
464.057778, 1326.27, 7.25889, 1316.7, 9.568, 16944.7
503.764046, 1479.53, 8.09768, 1456.42, 23.104, 16791.5
534.212124, 1516.62, 8.30067, 1489.64, 26.976, 16754.4
579.499874, 1564.2, 8.56111, 1535.22, 28.984, 16706.8
604.844152, 1628.9, 8.9152, 1597.82, 31.072, 16642.1
620.954777, 1628.18, 8.91126, 1597.11, 31.064, 16642.8
670.650014, 1745.98, 9.55604, 1711.53, 34.456, 16525
714.573153, 1912.5, 10.4674, 1868.41, 44.096, 16358.5
724.425800, 1942.62, 10.6322, 1897.59, 45.024, 16328.4
761.191171, 2043.84, 11.1863, 1990.07, 53.768, 16227.2
771.053526, 2067.97, 11.3183, 2012.89, 55.08, 16203
803.742352, 2166.31, 11.8566, 2102.77, 63.544, 16104.7
820.143439, 2207.66, 12.0829, 2139.82, 67.848, 16063.3
845.285317, 2278.35, 12.4698, 2207.94, 70.416, 15992.6
885.626395, 2362.4, 12.9298, 2286.12, 76.28, 15908.6
913.803758, 2444.94, 13.3816, 2361.51, 83.432, 15826.1
949.875912, 2572.5, 14.0797, 2479.49, 93.016, 15698.5
982.138034, 2704.38, 14.8015, 2603.71, 100.664, 15566.6
1017.841657, 2819.82, 15.4333, 2709.4, 110.424, 15451.2
1065.904402, 3001.29, 16.4265, 2878.43, 122.856, 15269.7
1098.903254, 3091.53, 16.9204, 2957.69, 133.84, 15179.5
1121.147319, 3113.93, 17.043, 2978.02, 135.912, 15157.1
1177.295805, 3162.99, 17.3115, 3024.14, 138.848, 15108
1210.018589, 3192.41, 17.4725, 3054.38, 138.024, 15078.6
1292.559131, 3327.46, 18.2117, 3184.27, 143.184, 14943.5
1338.282046, 3412.21, 18.6755, 3266.16, 146.048, 14858.8
1365.815009, 3460.23, 18.9384, 3313.22, 147.008, 14810.8
1413.241358, 3510.48, 19.2134, 3361.69, 148.792, 14760.5
1455.632490, 3618.96, 19.8071, 3468.38, 150.584, 14652
1472.515593, 3654.65, 20.0025, 3501.98, 152.672, 14616.4
1520.895068, 3810.76, 20.8569, 3653.5, 157.264, 14460.2
1564.612811, 3946.2, 21.5982, 3779.99, 166.208, 14324.8
1594.875720, 3978.67, 21.7759, 3808.63, 170.04, 14292.3
1613.127389, 4032.26, 22.0692, 3862, 170.264, 14238.7
1643.205410, 4043.74, 22.132, 3874.05, 169.696, 14227.3
1682.699722, 4074.46, 22.3002, 3896.87, 177.592, 14196.5
1748.219875, 4091.32, 22.3924, 3912.13, 179.192, 14179.7
1781.535959, 4122.11, 22.561, 3943.74, 178.368, 14148.9
1839.778624, 4199.26, 22.9832, 4021.61, 177.648, 14071.7
1910.908708, 4310.15, 23.5901, 4127.18, 182.976, 13960.8
1934.746387, 4313.38, 23.6078, 4131.23, 182.152, 13957.6
1958.644820, 4330.89, 23.7036, 4149.6, 181.288, 13940.1
2006.645634, 4484.43, 24.544, 4294.95, 189.48, 13786.6
2041.062032, 4594.59, 25.1469, 4398.44, 196.152, 13676.4
2076.620434, 4652.15, 25.4619, 4454.58, 197.576, 13618.8
2132.624283, 4719.43, 25.8302, 4517.57, 201.864, 13551.6
2174.554543, 4758.74, 26.0453, 4555.15, 203.592, 13512.3
2219.514757, 4851.22, 26.5515, 4641.56, 209.664, 13419.8
2259.235151, 4960.14, 27.1476, 4741.86, 218.272, 13310.9
2303.684400, 5065.88, 27.7263, 4838.63, 227.248, 13205.1
2356.050364, 5173.14, 28.3134, 4938.54, 234.6, 13097.9
2406.673556, 5283.96, 28.9199, 5039.68, 244.28, 12987
2430.015392, 5314.3, 29.086, 5067.38, 246.92, 12956.7
2463.095769, 5363.7, 29.3564, 5113.14, 250.56, 12907.3
2490.821134, 5388.01, 29.4894, 5137.07, 250.936, 12883
2515.554586, 5406.16, 29.5887, 5154.98, 251.176, 12864.8
2653.205181, 5470.19, 29.9392, 5215.59, 254.6, 12800.8
2670.867833, 5485.1, 30.0208, 5229.68, 255.424, 12785.9
2722.075018, 5496.95, 30.0857, 5240.65, 256.304, 12774
2774.457477, 5549.9, 30.3754, 5290.86, 259.032, 12721.1
2795.493965, 5557.86, 30.419, 5299.45, 258.408, 12713.1
2832.240009, 5575.4, 30.515, 5317.63, 257.768, 12695.6
2973.344276, 5717.13, 31.2907, 5461.57, 255.56, 12553.9
3017.933046, 5743.95, 31.4375, 5488.39, 255.56, 12527
3036.282216, 5748.94, 31.4648, 5493.38, 255.56, 12522.1
3064.307399, 5750.2, 31.4717, 5494.87, 255.328, 12520.8
3085.273840, 5756.9, 31.5084, 5501.57, 255.328, 12514.1
3106.508470, 5761.42, 31.5331, 5506.09, 255.328, 12509.6
3161.394838, 5821, 31.8592, 5557.62, 263.384, 12450
3192.677127, 5823.46, 31.8727, 5558.83, 264.624, 12447.5
3273.098595, 5980.08, 32.7299, 5715.92, 264.16, 12290.9
3348.712923, 6187.94, 33.8676, 5912.06, 275.88, 12083.1
3392.415375, 6283.35, 34.3898, 6007.44, 275.912, 11987.6
3448.584263, 6318.59, 34.5826, 6035.82, 282.776, 11952.4
3501.646587, 6328.1, 34.6347, 6044.74, 283.36, 11942.9
3549.061919, 6387.48, 34.9597, 6101.72, 285.76, 11883.5
3567.310108, 6391.54, 34.9819, 6105.78, 285.76, 11879.5
3597.617409, 6392.21, 34.9855, 6106.5, 285.704, 11878.8
