Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 40057
4.630000000, 155.36, 0.387847, 130.168, 25.192, 39901.6
9.520000000, 169.648, 0.423516, 142.224, 27.424, 39887.4
17.220000000, 178.312, 0.445146, 149.128, 29.184, 39878.7
24.960000000, 202.712, 0.506059, 169.944, 32.768, 39854.3
29.710000000, 213.992, 0.534219, 178.832, 35.16, 39843
35.260000000, 228.864, 0.571346, 191.912, 36.952, 39828.1
40.040000000, 252.248, 0.629723, 211.896, 40.352, 39804.8
55.420000000, 269.28, 0.672242, 226.232, 43.048, 39787.7
61.080000000, 294.632, 0.735532, 246.776, 47.856, 39762.4
65.980000000, 303.688, 0.75814, 253.48, 50.208, 39753.3
71.240000000, 315, 0.786379, 261.688, 53.312, 39742
77.950000000, 333.528, 0.832633, 273.56, 59.968, 39723.5
83.610000000, 342.744, 0.855641, 279.696, 63.048, 39714.3
90.320000000, 353.664, 0.882902, 288.696, 64.968, 39703.3
95.320000000, 363.328, 0.907027, 296.016, 67.312, 39693.7
100.180000000, 372.688, 0.930394, 303.192, 69.496, 39684.3
104.860000000, 385.152, 0.96151, 314.48, 70.672, 39671.8
112.190000000, 398.76, 0.995481, 326.144, 72.616, 39658.2
119.160000000, 412.808, 1.03055, 334.552, 78.256, 39644.2
124.920000000, 436.616, 1.08999, 353.824, 82.792, 39620.4
129.840000000, 449.44, 1.122, 363.536, 85.904, 39607.6
135.220000000, 457.488, 1.14209, 369.016, 88.472, 39599.5
140.620000000, 460.232, 1.14894, 370.144, 90.088, 39596.8
146.940000000, 470.576, 1.17477, 378.784, 91.792, 39586.4
151.450000000, 485.784, 1.21273, 392.784, 93, 39571.2
156.360000000, 505.016, 1.26074, 409.72, 95.296, 39552
160.720000000, 522.976, 1.30558, 426.576, 96.4, 39534
165.690000000, 537.256, 1.34123, 437.088, 100.168, 39519.7
171.470000000, 559.384, 1.39647, 454.536, 104.848, 39497.6
177.150000000, 576.848, 1.44007, 469.472, 107.376, 39480.2
182.120000000, 592.48, 1.47909, 481.264, 111.216, 39464.5
186.480000000, 604.104, 1.50811, 490.864, 113.24, 39452.9
191.880000000, 617.912, 1.54258, 499.112, 118.8, 39439.1
197.260000000, 624.984, 1.56024, 504.104, 120.88, 39432
202.050000000, 635.864, 1.5874, 511.824, 124.04, 39421.1
207.500000000, 642.712, 1.60449, 517.448, 125.264, 39414.3
213.630000000, 654.504, 1.63393, 523.96, 130.544, 39402.5
220.820000000, 659.216, 1.64569, 525.872, 133.344, 39397.8
226.740000000, 667.04, 1.66523, 531.4, 135.64, 39390
231.510000000, 670.912, 1.67489, 533.36, 137.552, 39386.1
238.980000000, 675.528, 1.68642, 540.944, 134.584, 39381.5
243.930000000, 675.496, 1.68634, 540.68, 134.816, 39381.5
250.760000000, 687.56, 1.71645, 548.344, 139.216, 39369.4
256.390000000, 691.68, 1.72674, 548.688, 142.992, 39365.3
262.060000000, 699.128, 1.74533, 554.752, 144.376, 39357.9
266.520000000, 702.408, 1.75352, 556.904, 145.504, 39354.6
273.170000000, 705.912, 1.76227, 558.288, 147.624, 39351.1
278.690000000, 710.656, 1.77411, 561.968, 148.688, 39346.3
285.330000000, 716.912, 1.78973, 565.552, 151.36, 39340.1
