Goal x, Goal y, Goal z, Planner
141.852, -98.7223, 8.59529, aep
142.631, -99.3472, 8.63961, aep
143.228, -99.7146, 7.9268, aep
144.006, -100.029, 8.47219, aep
144.424, -99.1216, 8.52317, aep
145.247, -98.5594, 8.45031, aep
146.149, -98.1826, 8.23945, aep
147.04, -97.8091, 7.97992, aep
148.035, -97.8949, 7.92978, aep
148.361, -97.6563, 7.01518, aep
149.24, -97.2261, 7.22279, aep
149.893, -97.9739, 7.34384, aep
150.372, -98.8443, 7.45854, aep
151.459, -99.7595, 7.85919, aep
152.295, -99.8505, 8.40006, aep
152.62, -98.9147, 8.5378, aep
153.205, -98.118, 8.38771, aep
154.022, -97.013, 7.87138, aep
155.012, -97.1336, 7.9406, aep
155.709, -96.7996, 8.5758, aep
156.543, -97.3019, 8.80428, aep
157.049, -98.0947, 8.46539, aep
157.32, -98.3955, 7.55104, aep
157.987, -99.1401, 7.56986, aep
158.742, -98.7127, 8.06722, aep
159.572, -98.1952, 8.27718, aep
160.229, -97.4803, 8.5163, aep
160.799, -97.1584, 7.76063, aep
160.975, -96.2149, 8.04178, aep
161.877, -96.015, 8.42427, aep
162.703, -95.4611, 8.32355, aep
163.369, -95.5559, 7.58366, aep
163.998, -94.7863, 7.69172, aep
163.925, -94.1711, 6.90677, aep
163.158, -93.5393, 6.79608, aep
162.583, -92.7251, 6.87757, aep
161.891, -92.1836, 7.35416, aep
160.495, -92.1789, 7.72419, aep
159.843, -92.1239, 6.96823, aep
159.178, -92.8301, 7.21196, aep
158.215, -92.8297, 6.94454, aep
158.082, -93.7198, 7.38044, aep
157.22, -93.9688, 7.82188, aep
156.384, -93.7605, 8.33075, aep
155.817, -92.9378, 8.29536, aep
155.462, -92.1255, 7.8323, aep
154.418, -92.4503, 7.12925, aep
153.673, -93.0987, 7.2839, aep
152.331, -93.1515, 7.92724, aep
