Goal x, Goal y, Goal z, Planner
193.748, -68.2321, 8.27278, aep
194.595, -67.9026, 8.68925, aep
195.346, -68.5622, 8.65554, aep
196.339, -68.575, 8.77594, aep
196.847, -67.9099, 8.22861, aep
196.939, -68.1044, 7.25201, aep
196.987, -68.9229, 6.67951, aep
197.086, -69.6431, 7.366, aep
197.769, -70.2273, 7.80451, aep
198.53, -69.9401, 8.98365, aep
198.53, -70.0709, 7.99224, aep
199.337, -70.6535, 8.08642, aep
199.881, -71.4896, 8.15638, aep
200.223, -72.2865, 8.65439, aep
199.75, -72.6533, 7.85324, aep
198.823, -72.3935, 7.58117, aep
198.924, -73.3226, 7.22527, aep
198.306, -73.8933, 7.32814, aep
198.599, -74.8178, 7.57187, aep
199.047, -75.2424, 6.7851, aep
200.003, -75.2937, 6.49705, aep
200.53, -75.8775, 7.11456, aep
200.192, -76.8178, 7.0731, aep
199.774, -77.6758, 6.77448, aep
198.986, -78.2513, 6.99168, aep
198.668, -79.1612, 6.7254, aep
198.644, -79.8989, 7.4001, aep
198.283, -80.7123, 7.85671, aep
198.461, -81.5841, 7.40021, aep
197.634, -81.8371, 6.89852, aep
196.843, -82.3426, 7.24452, aep
197.548, -82.1255, 7.91973, aep
197.626, -82.9664, 8.4553, aep
198.103, -83.3926, 7.6869, aep
198.006, -84.2658, 7.20924, aep
198.43, -85.1667, 7.30485, aep
199.021, -85.8331, 7.75846, aep
198.973, -86.4924, 7.00814, aep
199.77, -87.0072, 6.69174, aep
199.605, -87.4372, 7.57941, aep
198.67, -87.7154, 7.36016, aep
198.668, -88.0985, 8.28389, aep
198.807, -89.0543, 8.02466, aep
198.557, -89.8914, 8.51127, aep
198.615, -90.8888, 8.467, aep
199.339, -91.4606, 8.08196, aep
199.159, -92.4325, 7.92982, aep
199.793, -93.0186, 7.42559, aep
198.862, -93.3332, 7.60743, aep
199.748, -94.6598, 8.60949, aep
200.197, -94.982, 7.77609, aep
199.527, -95.6424, 8.11401, aep
200.058, -96.4531, 8.35966, aep
199.285, -97.0846, 8.41424, aep
198.304, -97.0609, 8.60691, aep
197.888, -97.902, 8.26121, aep
197.904, -98.9008, 8.30766, aep
197.771, -99.8574, 8.56674, aep
197.573, -99.0951, 7.95056, aep
197.001, -98.3358, 8.26051, aep
196.186, -97.7821, 8.43225, aep
195.343, -97.3858, 8.06836, aep
194.424, -98.2562, 8.13153, aep
193.377, -97.5109, 8.79186, aep
193.369, -97.1405, 7.86302, aep
193.163, -97.0653, 6.88751, aep
193.161, -96.0699, 6.98358, aep
192.194, -95.9045, 7.17743, aep
191.259, -96.0917, 7.47868, aep
190.854, -95.6299, 8.26793, aep
190.269, -95.1799, 8.94264, aep
190.096, -95.6394, 8.07135, aep
189.332, -95.9157, 7.48949, aep
188.476, -95.8943, 6.97224, aep
188.563, -94.902, 7.06052, aep
189.233, -94.2268, 6.75373, aep
188.995, -93.2646, 6.88513, aep
189.134, -94.2227, 7.13545, aep
188.497, -94.9582, 6.90592, aep
188.054, -95.6505, 7.47557, aep
188.419, -96.4434, 7.96336, aep
187.55, -96.8534, 8.23951, aep
186.711, -96.8147, 7.69601, aep
186.448, -97.6814, 7.272, aep
185.814, -98.4522, 7.33299, aep
185.025, -99.0531, 7.45665, aep
184.62, -99.9467, 7.65014, aep
185.1, -100.612, 7.07876, aep
185.95, -101.138, 7.12068, aep
185.433, -101.418, 7.17508, aep
184.646, -101.815, 7.64701, aep
184.658, -102.761, 7.9706, aep
185.016, -103.456, 7.34567, aep
185.904, -103.446, 7.8048, aep
185.882, -103.554, 8.79865, aep
185.249, -104.323, 8.71364, aep
184.891, -105.23, 8.93811, aep
183.892, -105.245, 8.97841, aep
183.491, -105.2, 8.06343, aep
183.948, -104.48, 7.54132, aep
183.396, -103.694, 7.82022, aep
183.586, -102.765, 7.50472, aep
183.163, -101.863, 7.5895, aep
182.654, -101.684, 8.43123, aep
181.944, -102.197, 8.91332, aep
181.39, -101.957, 8.11609, aep
180.958, -101.795, 7.22896, aep
180.521, -100.951, 6.91868, aep
180.412, -100.789, 7.89949, aep
180.19, -99.9428, 8.38327, aep
180.681, -99.1417, 8.03994, aep
179.956, -99.8166, 8.18153, aep
179.094, -100.302, 8.32519, aep
178.213, -100.774, 8.32715, aep
177.397, -101.287, 8.05874, aep
176.628, -101.586, 8.62466, aep
175.804, -101.034, 8.7546, aep
174.852, -101.145, 8.47096, aep
174.392, -101.826, 7.9021, aep
174.767, -102.575, 8.44867, aep
174.511, -103.161, 7.67966, aep
173.706, -103.683, 7.96307, aep
173.519, -104.663, 8.03255, aep
172.703, -104.67, 7.45546, aep
172.182, -105.524, 7.48575, aep
172.339, -106.025, 8.33671, aep
171.748, -105.343, 7.90538, aep
170.788, -105.422, 8.17197, aep
170.111, -105.804, 7.54346, aep
169.621, -106.439, 6.94535, aep
169.464, -105.496, 7.87881, aep
168.639, -106.058, 7.81927, aep
167.971, -106.584, 7.29228, aep
168.209, -107.088, 8.12245, aep
168.089, -108.041, 7.84654, aep
167.182, -108.088, 8.2644, aep
166.3, -107.749, 7.93754, aep
167.046, -108.182, 8.4424, aep
167.349, -108.97, 8.97854, aep
166.727, -109.731, 8.79204, aep
166.544, -110.495, 8.17301, aep
166.267, -111.256, 7.58721, aep
165.71, -111.476, 8.38854, aep
164.981, -111.971, 7.91498, aep
164.869, -112.786, 8.48312, aep
164.573, -113.735, 8.58852, aep
165.003, -114.364, 7.94158, aep
165.815, -113.934, 7.54753, aep
165.296, -114.761, 7.33241, aep
165.858, -115.53, 7.63552, aep
166.299, -116.237, 7.08285, aep
165.806, -115.102, 7.82639, aep
165.231, -114.333, 8.10476, aep
166.017, -113.955, 8.59337, aep
166.802, -113.841, 8.06777, aep
167.784, -113.951, 7.91735, aep
168.635, -112.827, 7.97367, aep
169.34, -112.311, 8.46043, aep
170.098, -112.939, 8.28561, aep
170.91, -113.306, 8.73965, aep
171.692, -113.078, 8.15874, aep
172.587, -113.503, 8.02638, aep
173.653, -112.498, 8.12241, aep
174.204, -111.88, 7.56177, aep
174.52, -112.654, 7.01392, aep
175.022, -113.501, 7.19126, aep
175.765, -113.867, 7.75164, aep
176.579, -113.295, 7.64282, aep
177.384, -112.703, 7.62757, aep
176.49, -113.107, 7.43319, aep
176.033, -113.996, 7.45462, aep
176.031, -114.842, 6.92101, aep
175.043, -114.691, 6.96746, aep
174.318, -114.52, 7.63436, aep
173.549, -114.406, 8.26286, aep
174.714, -115.117, 7.79761, aep
175.235, -114.894, 8.62148, aep
175.896, -114.145, 8.56297, aep
176.112, -113.304, 8.06692, aep
175.8, -112.386, 8.31124, aep
176.499, -111.943, 7.75055, aep
177.253, -111.412, 7.36238, aep
178.147, -111.112, 7.03023, aep
178.5, -111.399, 7.92088, aep
178.979, -112.205, 8.26911, aep
179.814, -112.749, 8.34641, aep
180.144, -113.339, 7.60987, aep
180.61, -114.028, 8.16501, aep
180.565, -113.053, 7.94888, aep
181.47, -112.731, 7.66996, aep
182.164, -112.534, 8.36223, aep
183.013, -113.046, 8.22838, aep
183.266, -114.009, 8.32224, aep
184.151, -114.359, 8.01461, aep
184.832, -114.722, 7.37827, aep
185.469, -114.338, 8.04594, aep
186.144, -115.073, 8.10384, aep
185.933, -115.756, 8.80399, aep
185.663, -115.203, 8.01538, aep
186.562, -114.775, 7.92281, aep
187.446, -114.756, 8.39014, aep
187.966, -115.088, 7.603, aep
188.785, -115.141, 8.17357, aep
188.635, -116.122, 8.05089, aep
189.139, -116.846, 8.521, aep
189.951, -117.376, 8.76453, aep
190.224, -116.417, 8.69525, aep
190.05, -115.434, 8.75904, aep
190.811, -115.002, 8.27546, aep
191.588, -114.41, 8.48952, aep
191.36, -113.812, 8.85363, aep
191.66, -112.908, 8.5485, aep
190.728, -113.236, 8.39592, aep
190.046, -112.546, 8.63735, aep
190.965, -112.405, 8.26919, aep
191.791, -111.872, 8.45636, aep
192.397, -111.617, 7.70287, aep
193.361, -111.464, 7.91895, aep
193.273, -110.769, 7.20454, aep
192.959, -109.846, 6.98397, aep
193.125, -109.061, 7.58136, aep
193.115, -108.063, 7.64134, aep
193.294, -107.709, 8.55908, aep
193.201, -106.787, 8.93674, aep
193.969, -106.207, 8.66531, aep
193.517, -105.376, 8.34078, aep
192.777, -104.846, 8.75666, aep
191.804, -104.627, 8.81779, aep
190.866, -104.298, 8.70424, aep
190.144, -104.56, 8.0634, aep
189.238, -104.715, 8.45654, aep
188.71, -105.011, 7.66077, aep
188.504, -105.98, 7.79507, aep
188.11, -105.062, 7.83612, rrt
187.984, -104.071, 7.81119, rrt
187.226, -103.419, 7.79331, rrt
186.331, -102.973, 7.79081, rrt
187.047, -102.541, 7.43899, aep
186.431, -102.671, 8.21561, aep
185.711, -103.322, 8.45547, aep
185.244, -102.875, 8.76917, aep
184.741, -102.845, 7.9053, aep
183.867, -102.66, 7.4565, aep
183.198, -102.509, 8.18496, aep
182.693, -101.94, 7.53612, aep
182.039, -101.184, 7.54707, aep
181.178, -101.444, 7.10932, aep
180.189, -101.341, 7.006, aep
179.472, -100.679, 6.78499, aep
178.981, -100.088, 7.4248, aep
178.846, -99.0992, 7.48745, aep
179.368, -97.8509, 8.08678, aep
179.162, -96.8725, 8.09587, aep
179.588, -95.9984, 7.86217, aep
180.174, -95.4623, 8.46953, aep
178.798, -95.2741, 8.68517, aep
179.423, -95.2844, 7.90454, aep
179.398, -94.3909, 6.80641, aep
178.506, -94.1909, 7.21163, aep
179.054, -93.505, 7.69091, aep
180.003, -93.2892, 7.91907, aep
179.551, -92.4055, 8.04008, aep
179.726, -91.5643, 7.52843, aep
178.8, -91.2745, 7.77065, aep
178.022, -90.847, 8.23183, aep
177.803, -89.4866, 8.06204, aep
177.999, -88.5981, 8.47685, aep
177.4, -87.8378, 8.72718, aep
178.28, -87.9995, 8.28182, aep
178.701, -87.8391, 7.38914, aep
178.804, -86.8698, 7.16549, aep
178.744, -85.9075, 6.90025, aep
179.466, -86.599, 6.93316, aep
180.238, -86.7789, 7.54213, aep
180.316, -85.8399, 7.87716, aep
180.74, -85.2543, 8.56767, aep
180.658, -84.2928, 8.83029, aep
180.777, -83.3117, 8.67817, aep
180.891, -81.9012, 8.32113, aep
181.325, -81.7131, 7.44009, aep
181.088, -80.8606, 6.97409, aep
181.093, -80.0352, 7.53867, aep
180.246, -79.6075, 7.22465, aep
179.526, -78.9457, 7.01615, aep
178.566, -79.1562, 7.2014, aep
177.785, -79.0872, 7.82227, aep
176.937, -79.6142, 7.87639, aep
176.279, -80.3286, 8.11634, aep
176.084, -79.4002, 7.80002, aep
176.084, -80.3633, 7.53083, aep
175.482, -80.8395, 8.17196, aep
174.914, -81.3215, 7.50456, aep
174.013, -81.1468, 7.10696, aep
173.048, -81.3431, 6.93445, aep
172.381, -81.5716, 7.6433, aep
171.67, -82.2587, 7.49317, aep
170.75, -81.8676, 7.46656, aep
169.753, -81.7858, 7.45102, aep
168.976, -82.3296, 7.76616, aep
168.704, -81.6012, 7.13711, aep
169.33, -81.0014, 7.63492, aep
168.926, -80.0871, 7.62666, aep
169.648, -79.5809, 7.15532, aep
168.706, -79.4555, 7.4673, aep
168.186, -78.8648, 6.84996, aep
167.528, -78.7735, 7.59657, aep
167.527, -79.7573, 7.77569, aep
166.556, -79.9532, 7.63904, aep
165.563, -79.878, 7.73556, aep
165.049, -79.8701, 6.87815, aep
164.285, -79.4223, 7.3433, aep
164.057, -78.5559, 7.78773, aep
165.012, -78.729, 8.02914, aep
164.864, -77.9311, 6.85371, aep
164.951, -77.1051, 7.41059, aep
164.725, -76.2594, 7.89415, aep
166.102, -75.762, 7.72431, aep
167.045, -75.5245, 7.48994, aep
