Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 40057
7.160000000, 149.408, 0.372988, 126.48, 22.928, 39907.6
12.160000000, 163.96, 0.409317, 138.792, 25.168, 39893
16.760000000, 179.768, 0.44878, 152.128, 27.64, 39877.2
23.860000000, 194.144, 0.484669, 165.528, 28.616, 39862.9
28.430000000, 197.36, 0.492698, 168.816, 28.544, 39859.6
33.670000000, 212.04, 0.529346, 183.152, 28.888, 39845
38.930000000, 232.6, 0.580673, 201.72, 30.88, 39824.4
44.460000000, 251.736, 0.628444, 219.2, 32.536, 39805.3
50.480000000, 269.464, 0.672701, 235.88, 33.584, 39787.5
55.350000000, 289.656, 0.72311, 254.056, 35.6, 39767.3
60.440000000, 310.832, 0.775974, 273.216, 37.616, 39746.2
68.160000000, 323.512, 0.807629, 281.656, 41.856, 39733.5
75.060000000, 330.376, 0.824765, 285.288, 45.088, 39726.6
80.270000000, 348.064, 0.868922, 301.072, 46.992, 39708.9
85.780000000, 363.648, 0.907826, 314.832, 48.816, 39693.4
91.150000000, 383.104, 0.956397, 331.856, 51.248, 39673.9
98.100000000, 386.552, 0.965005, 332.064, 54.488, 39670.4
105.120000000, 397.88, 0.993285, 341.68, 56.2, 39659.1
112.720000000, 398.952, 0.995961, 341.936, 57.016, 39658
119.270000000, 402.448, 1.00469, 345.192, 57.256, 39654.6
124.030000000, 410.28, 1.02424, 352.144, 58.136, 39646.7
128.920000000, 423.512, 1.05727, 363.56, 59.952, 39633.5
134.240000000, 435.344, 1.08681, 373.872, 61.472, 39621.7
139.200000000, 447.744, 1.11777, 384.704, 63.04, 39609.3
144.320000000, 465.056, 1.16099, 399.664, 65.392, 39591.9
150.290000000, 470.208, 1.17385, 404.016, 66.192, 39586.8
155.270000000, 477.496, 1.19204, 410.656, 66.84, 39579.5
160.650000000, 495.248, 1.23636, 427.4, 67.848, 39561.8
165.790000000, 515.824, 1.28772, 445.632, 70.192, 39541.2
171.250000000, 529.416, 1.32166, 456.904, 72.512, 39527.6
177.470000000, 545.6, 1.36206, 471.368, 74.232, 39511.4
182.000000000, 560.744, 1.39987, 485.352, 75.392, 39496.3
186.440000000, 571.8, 1.42747, 495.536, 76.264, 39485.2
191.650000000, 578.784, 1.4449, 502.464, 76.32, 39478.2
196.510000000, 588.192, 1.46839, 511.024, 77.168, 39468.8
200.990000000, 601.032, 1.50044, 523.104, 77.928, 39456
206.260000000, 628.456, 1.5689, 548.64, 79.816, 39428.5
211.120000000, 636.904, 1.58999, 553.84, 83.064, 39420.1
215.480000000, 651.912, 1.62746, 567.208, 84.704, 39405.1
219.970000000, 669.32, 1.67092, 582.552, 86.768, 39387.7
225.180000000, 694.48, 1.73373, 604.584, 89.896, 39362.5
230.610000000, 701.736, 1.75184, 610.576, 91.16, 39355.3
235.210000000, 714.256, 1.7831, 620.632, 93.624, 39342.7
239.800000000, 733.44, 1.83099, 638.584, 94.856, 39323.6
244.420000000, 750.768, 1.87425, 653.912, 96.856, 39306.2
249.170000000, 768.12, 1.91757, 670.464, 97.656, 39288.9
255.480000000, 813.88, 2.0318, 713.576, 100.304, 39243.1
260.030000000, 836.432, 2.0881, 734.728, 101.704, 39220.6
265.240000000, 859.304, 2.1452, 755.56, 103.744, 39197.7
270.190000000, 877.88, 2.19158, 772.944, 104.936, 39179.1
275.100000000, 880.088, 2.19709, 774.96, 105.128, 39176.9
281.000000000, 901.088, 2.24951, 794.096, 106.992, 39155.9
286.320000000, 924.768, 2.30863, 815.736, 109.032, 39132.2
291.650000000, 941.744, 2.35101, 831.12, 110.624, 39115.3
296.130000000, 959.336, 2.39493, 847.048, 112.288, 39097.7
302.420000000, 989.952, 2.47136, 870.784, 119.168, 39067
309.150000000, 1002.84, 2.50353, 884.208, 118.632, 39054.2
314.200000000, 1021.18, 2.54933, 901.44, 119.744, 39035.8
318.970000000, 1032.3, 2.57707, 910.224, 122.072, 39024.7
324.130000000, 1044.45, 2.6074, 919.288, 125.16, 39012.6
328.840000000, 1049.46, 2.61991, 922.44, 127.016, 39007.5
334.490000000, 1051.53, 2.62508, 922.432, 129.096, 39005.5
340.420000000, 1058.1, 2.6415, 929.536, 128.568, 38998.9
345.370000000, 1063.35, 2.6546, 933.28, 130.072, 38993.6
349.850000000, 1071.97, 2.67611, 941.664, 130.304, 38985
354.640000000, 1087.81, 2.71565, 957.016, 130.792, 38969.2
359.610000000, 1108.5, 2.76732, 976.952, 131.552, 38948.5
364.440000000, 1120.4, 2.79701, 987.192, 133.208, 38936.6
369.440000000, 1137.54, 2.83981, 1003.23, 134.312, 38919.5
374.420000000, 1147.73, 2.86524, 1012.74, 134.992, 38909.3
379.420000000, 1163.5, 2.9046, 1027.8, 135.696, 38893.5
384.090000000, 1178.54, 2.94215, 1043.21, 135.328, 38878.5
389.330000000, 1186.36, 2.96168, 1050.51, 135.848, 38870.6
393.900000000, 1197.42, 2.9893, 1061.49, 135.936, 38859.6
398.500000000, 1217.98, 3.04063, 1080.96, 137.024, 38839
403.780000000, 1240.81, 3.09761, 1103.13, 137.68, 38816.2
408.850000000, 1250.09, 3.12077, 1111.58, 138.504, 38806.9
413.920000000, 1265.3, 3.15876, 1125.5, 139.808, 38791.7
419.310000000, 1278.42, 3.19149, 1138.06, 140.36, 38778.6
