Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 40057
14.654103, 159.712, 0.398712, 136.176, 23.536, 39897.3
20.312781, 166.176, 0.414849, 141.208, 24.968, 39890.8
44.358777, 189.496, 0.473066, 156.32, 33.176, 39867.5
73.112027, 243.688, 0.608353, 200.872, 42.816, 39813.3
98.666880, 306.864, 0.766068, 259.856, 47.008, 39750.1
124.217510, 347.208, 0.866785, 291.408, 55.8, 39709.8
148.924437, 425.176, 1.06143, 360.976, 64.2, 39631.8
195.914774, 518.992, 1.29563, 446.448, 72.544, 39538
253.655416, 559.8, 1.39751, 477.472, 82.328, 39497.2
289.271875, 624.696, 1.55952, 528.736, 95.96, 39432.3
299.630714, 625.472, 1.56145, 526.312, 99.16, 39431.5
337.177619, 695.184, 1.73549, 589.92, 105.264, 39361.8
350.860969, 744.832, 1.85943, 630.248, 114.584, 39312.2
384.042638, 778.584, 1.94369, 649.592, 128.992, 39278.4
413.067014, 806.92, 2.01443, 667.336, 139.584, 39250.1
422.269986, 808.904, 2.01938, 665.208, 143.696, 39248.1
465.925174, 815.616, 2.03614, 670.672, 144.944, 39241.4
500.927893, 871.04, 2.1745, 715.816, 155.224, 39186
546.806206, 980.24, 2.44711, 808.312, 171.928, 39076.8
577.937093, 1034.18, 2.58178, 845.464, 188.72, 39022.8
634.201064, 1047.45, 2.61489, 852.88, 194.568, 39009.6
643.180959, 1049.13, 2.61909, 855.76, 193.368, 39007.9
697.419805, 1081.31, 2.69943, 877.528, 203.784, 38975.7
736.482631, 1094.1, 2.73137, 891.016, 203.088, 38962.9
757.309214, 1105.41, 2.75959, 903.528, 201.88, 38951.6
764.741001, 1114.91, 2.78331, 912.464, 202.448, 38942.1
794.437968, 1172.86, 2.92797, 963.696, 209.16, 38884.1
827.082816, 1263.04, 3.15311, 1040.44, 222.6, 38794
847.913771, 1270.22, 3.17102, 1044.65, 225.568, 38786.8
879.126349, 1304.62, 3.25692, 1072.5, 232.128, 38752.4
927.551178, 1380.39, 3.44607, 1133.68, 246.712, 38676.6
963.804729, 1453.85, 3.62945, 1191.21, 262.64, 38603.2
984.746511, 1477.76, 3.68914, 1208.5, 269.256, 38579.2
1033.413043, 1532.85, 3.82667, 1249.96, 282.888, 38524.2
1056.353704, 1581.91, 3.94915, 1285.96, 295.952, 38475.1
1096.155059, 1663.71, 4.15336, 1349.21, 314.504, 38393.3
1145.313749, 1667.54, 4.16293, 1350.6, 316.944, 38389.5
1198.787096, 1747.7, 4.36304, 1411.33, 336.376, 38309.3
1232.520873, 1833.99, 4.57846, 1484.32, 349.672, 38223
1277.462045, 1879.61, 4.69233, 1521.46, 358.152, 38177.4
1350.263962, 1968.3, 4.91376, 1594.77, 373.536, 38088.7
1381.532491, 2023.5, 5.05154, 1633.42, 390.08, 38033.5
1416.304841, 2082.88, 5.19979, 1679.09, 403.792, 37974.1
1451.943854, 2193.14, 5.47506, 1773.74, 419.408, 37863.9
1490.380399, 2275.38, 5.68037, 1842.65, 432.736, 37781.6
1534.262230, 2372.55, 5.92294, 1931.4, 441.152, 37684.4
1568.864771, 2469.39, 6.1647, 2020.21, 449.184, 37587.6
1603.652007, 2506.4, 6.25708, 2047.07, 459.328, 37550.6
1638.926448, 2602.54, 6.49708, 2135.37, 467.168, 37454.5
1674.224639, 2730.89, 6.81751, 2255.06, 475.824, 37326.1
1729.264863, 2836.91, 7.08219, 2346.31, 490.6, 37220.1
1773.699507, 2931.69, 7.31879, 2432.1, 499.584, 37125.3
1815.686164, 3073.65, 7.67319, 2562.14, 511.504, 36983.4
1867.547036, 3169.08, 7.91143, 2644.01, 525.072, 36887.9
1905.382773, 3300.12, 8.23856, 2761.37, 538.752, 36756.9
1928.295626, 3358.27, 8.38373, 2815.96, 542.312, 36698.7
