Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 40057
4.840000000, 154.816, 0.386489, 130.128, 24.688, 39902.2
9.880000000, 169.088, 0.422118, 142.16, 26.928, 39887.9
17.830000000, 177.688, 0.443588, 149.064, 28.624, 39879.3
25.260000000, 197.96, 0.494196, 167.6, 30.36, 39859
29.900000000, 213.312, 0.532521, 181.312, 32, 39843.7
35.190000000, 224.8, 0.5612, 190.648, 34.152, 39832.2
40.180000000, 239.712, 0.598427, 201.984, 37.728, 39817.3
45.070000000, 253.576, 0.633038, 213.736, 39.84, 39803.4
50.410000000, 261.472, 0.65275, 220.456, 41.016, 39795.5
57.360000000, 264.344, 0.65992, 219.232, 45.112, 39792.7
66.930000000, 276.136, 0.689358, 228.216, 47.92, 39780.9
71.910000000, 283.608, 0.708011, 234.736, 48.872, 39773.4
77.350000000, 298.16, 0.744339, 247.304, 50.856, 39758.8
81.920000000, 311.408, 0.777412, 257.736, 53.672, 39745.6
87.880000000, 328.296, 0.819572, 271.2, 57.096, 39728.7
93.400000000, 337.344, 0.84216, 277.632, 59.712, 39719.7
98.670000000, 342.568, 0.855201, 282.552, 60.016, 39714.4
104.160000000, 346.024, 0.863829, 284.296, 61.728, 39711
110.570000000, 354.856, 0.885878, 291.688, 63.168, 39702.1
116.510000000, 367.688, 0.917912, 300.424, 67.264, 39689.3
122.970000000, 375.384, 0.937125, 306.536, 68.848, 39681.6
128.110000000, 387.976, 0.96856, 317.096, 70.88, 39669
133.540000000, 394.104, 0.983858, 320.768, 73.336, 39662.9
138.660000000, 398.6, 0.995082, 322.688, 75.912, 39658.4
145.110000000, 406.256, 1.01419, 327.536, 78.72, 39650.7
151.640000000, 410.944, 1.0259, 333.408, 77.536, 39646.1
157.590000000, 411.952, 1.02841, 331.624, 80.328, 39645
162.380000000, 420.256, 1.04914, 338.832, 81.424, 39636.7
167.200000000, 427.216, 1.06652, 344.84, 82.376, 39629.8
172.230000000, 432.84, 1.08056, 349.904, 82.936, 39624.2
179.240000000, 452.352, 1.12927, 365.312, 87.04, 39604.6
184.090000000, 462.32, 1.15416, 372.016, 90.304, 39594.7
189.380000000, 477.488, 1.19202, 381.768, 95.72, 39579.5
194.290000000, 483.824, 1.20784, 387.112, 96.712, 39573.2
199.700000000, 488.256, 1.2189, 388.352, 99.904, 39568.7
205.640000000, 494.552, 1.23462, 391.84, 102.712, 39562.4
210.670000000, 499.072, 1.2459, 396.08, 102.992, 39557.9
215.960000000, 508.344, 1.26905, 404.392, 103.952, 39548.7
220.910000000, 512.712, 1.27996, 408.872, 103.84, 39544.3
225.650000000, 517.048, 1.29078, 412.448, 104.6, 39540
230.740000000, 530.08, 1.32331, 423.528, 106.552, 39526.9
235.060000000, 539.616, 1.34712, 429.84, 109.776, 39517.4
240.340000000, 552.2, 1.37854, 440.6, 111.6, 39504.8
250.680000000, 581.872, 1.45261, 466.904, 114.968, 39475.1
261.400000000, 605.56, 1.51175, 487.8, 117.76, 39451.4
269.360000000, 614.952, 1.53519, 491.68, 123.272, 39442
275.660000000, 630.624, 1.57432, 504.784, 125.84, 39426.4
280.910000000, 645.704, 1.61196, 516.312, 129.392, 39411.3
285.940000000, 661.272, 1.65083, 529.224, 132.048, 39395.7
291.600000000, 668.536, 1.66896, 533.968, 134.568, 39388.5
296.850000000, 682.72, 1.70437, 544.928, 137.792, 39374.3
301.620000000, 693.224, 1.73059, 551.6, 141.624, 39363.8
306.520000000, 703.152, 1.75538, 559.272, 143.88, 39353.8
312.540000000, 710.616, 1.77401, 564.544, 146.072, 39346.4
318.410000000, 723.176, 1.80537, 573.904, 149.272, 39333.8
323.880000000, 734.272, 1.83307, 583.312, 150.96, 39322.7
330.110000000, 743.56, 1.85625, 589.256, 154.304, 39313.4
336.350000000, 751.04, 1.87493, 594.928, 156.112, 39306
342.030000000, 762.416, 1.90333, 603.928, 158.488, 39294.6
347.640000000, 778.896, 1.94447, 617.48, 161.416, 39278.1
352.650000000, 794.664, 1.98383, 631.768, 162.896, 39262.3
357.910000000, 808.312, 2.0179, 643.568, 164.744, 39248.7
362.950000000, 825.448, 2.06068, 659.096, 166.352, 39231.6
367.850000000, 838.504, 2.09328, 670.44, 168.064, 39218.5
372.800000000, 853.184, 2.12992, 683.544, 169.64, 39203.8
377.780000000, 871.184, 2.17486, 699.408, 171.776, 39185.8
384.140000000, 898.136, 2.24214, 718.528, 179.608, 39158.9
390.530000000, 917.4, 2.29024, 733.776, 183.624, 39139.6
395.870000000, 931.32, 2.32499, 745.032, 186.288, 39125.7
402.080000000, 943.256, 2.35478, 754.112, 189.144, 39113.7
407.280000000, 957.272, 2.38977, 766.208, 191.064, 39099.7
412.290000000, 969.448, 2.42017, 776.944, 192.504, 39087.6
417.290000000, 979.64, 2.44561, 786.064, 193.576, 39077.4
421.930000000, 993.84, 2.48106, 799.192, 194.648, 39063.2
427.880000000, 1018.75, 2.54326, 820.376, 198.376, 39038.2
434.620000000, 1031.93, 2.57615, 832.048, 199.88, 39025.1
444.540000000, 1055.43, 2.63483, 854.936, 200.496, 39001.6
450.950000000, 1062.94, 2.65356, 860.616, 202.32, 38994.1
457.670000000, 1083.54, 2.70501, 877.04, 206.504, 38973.5
463.590000000, 1098.35, 2.74197, 889.976, 208.376, 38958.6
470.380000000, 1119.02, 2.79356, 907.424, 211.592, 38938
477.060000000, 1133.33, 2.82929, 919.624, 213.704, 38923.7
482.220000000, 1136.86, 2.8381, 923.76, 213.096, 38920.1
488.960000000, 1158.42, 2.89192, 944.008, 214.408, 38898.6
495.440000000, 1168.87, 2.91802, 954.632, 214.24, 38888.1
500.830000000, 1186.44, 2.96188, 971.32, 215.12, 38870.6
506.430000000, 1205.56, 3.00961, 987.024, 218.536, 38851.4
513.920000000, 1207.12, 3.01351, 985.44, 221.68, 38849.9
518.550000000, 1207.42, 3.01424, 984.968, 222.448, 38849.6
525.150000000, 1218.39, 3.04165, 993.752, 224.64, 38838.6
530.380000000, 1227.92, 3.06543, 1000.99, 226.928, 38829.1
536.870000000, 1239.89, 3.09531, 1010.28, 229.608, 38817.1
541.400000000, 1250.02, 3.12061, 1019.97, 230.056, 38807
548.920000000, 1252.79, 3.12752, 1021.8, 230.992, 38804.2
556.240000000, 1253.49, 3.12926, 1022.16, 231.328, 38803.5
561.590000000, 1258.66, 3.14216, 1024.94, 233.712, 38798.3
566.230000000, 1262.22, 3.15107, 1028.17, 234.056, 38794.8
573.470000000, 1264.57, 3.15692, 1029.88, 234.688, 38792.4
580.800000000, 1270.85, 3.1726, 1036.94, 233.912, 38786.2
585.650000000, 1276.49, 3.18668, 1042.38, 234.104, 38780.5
590.960000000, 1291.22, 3.22347, 1054.25, 236.976, 38765.8
596.070000000, 1302.11, 3.25065, 1063.19, 238.92, 38754.9
601.160000000, 1319.09, 3.29303, 1075.94, 243.144, 38737.9
606.430000000, 1332.71, 3.32704, 1085.9, 246.808, 38724.3
612.920000000, 1346.14, 3.36057, 1096.62, 249.528, 38710.9
617.990000000, 1356.93, 3.38749, 1102.89, 254.04, 38700.1
624.140000000, 1359.5, 3.3939, 1102.39, 257.104, 38697.5
630.520000000, 1364.83, 3.40722, 1104.26, 260.576, 38692.2
635.490000000, 1370.97, 3.42254, 1108.43, 262.536, 38686
641.300000000, 1377.04, 3.4377, 1110.66, 266.384, 38680
648.200000000, 1381.18, 3.44803, 1110.72, 270.456, 38675.8
653.830000000, 1386.1, 3.46033, 1113.67, 272.432, 38670.9
658.820000000, 1389.18, 3.46802, 1115.49, 273.696, 38667.8
663.650000000, 1391.44, 3.47365, 1116.42, 275.024, 38665.6
668.310000000, 1392.17, 3.47547, 1116.9, 275.272, 38664.8
673.430000000, 1394.58, 3.48148, 1119.27, 275.304, 38662.4
678.770000000, 1398.78, 3.49196, 1122.3, 276.48, 38658.2
684.290000000, 1400.51, 3.4963, 1123.47, 277.04, 38656.5
689.220000000, 1402.32, 3.50081, 1125.1, 277.216, 38654.7
694.020000000, 1406.46, 3.51114, 1129.1, 277.36, 38650.5
699.000000000, 1411.5, 3.52372, 1133.41, 278.088, 38645.5
703.530000000, 1419.42, 3.54349, 1140.62, 278.8, 38637.6
708.660000000, 1426.5, 3.56117, 1146.83, 279.664, 38630.5
714.120000000, 1437.22, 3.58793, 1156.43, 280.784, 38619.8
